"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Russian Federation"," Data source"," Wine","1.26","1.27","1.17","1.00","1.03","0.95","0.90","0.80","0.75","0.71"
"Russian Federation"," Data source"," Spirits","5.79","6.16","6.34","6.72","6.90","7.09","7.32","7.15","7.09","7.31"
"Russian Federation"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Rwanda"," Data source"," All types","7.30","7.51","7.84","8.79","9.25","7.83","8.65","9.16","9.27","8.71"
"Rwanda"," Data source"," Beer","0.71","0.57","0.65","0.63","0.54","0.46","0.45","0.58","0.54","0.58"
"Rwanda"," Data source"," Wine","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Rwanda"," Data source"," Spirits","0.03","0.03","0.03","0.02","0","0","0","0","0","0"
"Rwanda"," Data source"," Other alcoholic beverages","6.55","6.91","7.16","8.15","8.71","7.38","8.20","8.57","8.73","8.12"
"Saint Kitts and Nevis"," Data source"," All types","9.92","10.53","10.97","11.81","11.10","9.87","9.27","8.95","9.28","8.82"
"Saint Kitts and Nevis"," Data source"," Beer","3.58","3.76","3.92","4.00","3.88","3.42","3.17","3.11","3.56","3.63"
"Saint Kitts and Nevis"," Data source"," Wine","1.23","1.28","1.26","1.24","1.21","1.14","0.88","0.89","1.05","1.00"
"Saint Kitts and Nevis"," Data source"," Spirits","4.87","5.23","5.53","6.31","5.78","5.28","5.18","4.91","4.62","4.15"
"Saint Kitts and Nevis"," Data source"," Other alcoholic beverages","0.24","0.26","0.26","0.25","0.23","0.04","0.04","0.04","0.04","0.04"
"Saint Lucia"," Data source"," All types","11.06","12.05","12.59","13.02","12.87","12.58","13.78","13.15","12.92","12.80"
"Saint Lucia"," Data source"," Beer","3.29","3.49","3.86","3.82","3.57","3.39","3.36","3.11","3.22","3.22"
"Saint Lucia"," Data source"," Wine","1.17","1.25","1.28","1.27","1.28","1.32","1.32","1.29","1.30","1.45"
"Saint Lucia"," Data source"," Spirits","5.90","6.45","6.56","7.07","7.16","7.03","8.28","7.91","7.56","7.30"
"Saint Lucia"," Data source"," Other alcoholic beverages","0.71","0.85","0.89","0.86","0.86","0.83","0.83","0.83","0.83","0.83"
"Saint Vincent and the Grenadines"," Data source"," All types","6.98","7.17","6.20","6.22","6.37","5.77","5.47","5.21","5.07","5.13"
"Saint Vincent and the Grenadines"," Data source"," Beer","2.29","2.37","2.47","2.59","2.43","2.03","1.84","1.92","1.97","1.96"
"Saint Vincent and the Grenadines"," Data source"," Wine","0.55","0.57","0.60","0.56","0.52","0.49","0.45","0.46","0.42","0.41"
"Saint Vincent and the Grenadines"," Data source"," Spirits","4.00","4.10","3.00","2.95","3.32","3.15","3.13","2.82","2.67","2.75"
"Saint Vincent and the Grenadines"," Data source"," Other alcoholic beverages","0.14","0.13","0.12","0.12","0.10","0.10","0.05","0.01","0.01","0.01"
"Samoa"," Data source"," All types","2.88","3.97","3.85","3.52","3.63","3.62","4.16","3.29","3.42","3.00"
"Samoa"," Data source"," Beer","2.55","3.65","3.60","3.37","3.31","3.30","3.70","3.03","3.25","2.85"
"Samoa"," Data source"," Wine","0.06","0.05","0.09","0.09","0.08","0.06","0.06","0.05","0.02","0.03"
"Samoa"," Data source"," Spirits","0.26","0.27","0.17","0.07","0.24","0.26","0.40","0.22","0.15","0.12"
"Samoa"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Sao Tome and Principe"," Data source"," All types","4.34","4.56","4.32","5.68","5.50","5.92","6.70","5.93","5.10","5.07"
"Sao Tome and Principe"," Data source"," Beer","0.94","0.99","0.99","1.05","1.12","1.12","1.14","1.16","1.15","1.17"
"Sao Tome and Principe"," Data source"," Wine","2.79","2.83","2.71","4.02","3.55","4.05","4.79","4.05","3.06","3.26"
"Sao Tome and Principe"," Data source"," Spirits","0.60","0.74","0.62","0.61","0.83","0.75","0.77","0.72","0.89","0.64"
"Sao Tome and Principe"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Saudi Arabia"," Data source"," All types","0.09","0.08","0.09","0.08","0.05","0.06","0.06","0.06","0.05","0.05"
"Saudi Arabia"," Data source"," Beer","0","0","0","0","0","0","0","0","0","0"
"Saudi Arabia"," Data source"," Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Saudi Arabia"," Data source"," Spirits","0.09","0.08","0.09","0.08","0.05","0.06","0.05","0.05","0.05","0.05"
"Saudi Arabia"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Senegal"," Data source"," All types","0.31","0.36","0.34","0.37","0.34","0.36","0.19","0.22","0.24","0.24"
"Senegal"," Data source"," Beer","0.15","0.18","0.17","0.16","0.16","0.16","0.13","0.14","0.16","0.16"
"Senegal"," Data source"," Wine","0.13","0.15","0.13","0.16","0.13","0.17","0.03","0.04","0.04","0.04"
"Senegal"," Data source"," Spirits","0.03","0.03","0.03","0.05","0.04","0.04","0.03","0.04","0.04","0.04"
"Senegal"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0","0","0","0"
"Serbia"," Data source"," All types","9.78","9.59","9.42","8.82","","","","","",""
"Serbia"," Data source"," Beer","3.25","3.74","3.89","3.93","","","","","",""
"Serbia"," Data source"," Wine","4.01","3.34","3.01","2.36","","","","","",""
"Serbia"," Data source"," Spirits","2.29","2.29","2.29","2.32","","","","","",""
"Serbia"," Data source"," Other alcoholic beverages","0.23","0.23","0.22","0.22","","","","","",""
"Seychelles"," Data source"," All types","5.20","6.68","7.25","6.43","6.60","6.56","7.35","8.13","6.84","8.33"
"Seychelles"," Data source"," Beer","2.72","4.49","4.76","4.52","5.10","4.99","5.75","6.32","6.02","6.21"
"Seychelles"," Data source"," Wine","1.50","1.31","1.01","1.06","0.63","0.57","0.80","0.90","0.41","1.06"
"Seychelles"," Data source"," Spirits","0.89","0.81","1.38","0.80","0.82","0.95","0.80","0.90","0.41","1.06"
"Seychelles"," Data source"," Other alcoholic beverages","0.10","0.07","0.10","0.06","0.05","0.05","0","0","0","0"
"Sierra Leone"," Data source"," All types","3.98","3.83","3.67","3.68","3.65","3.81","3.87","3.90","3.98","3.75"
"Sierra Leone"," Data source"," Beer","0.18","0.17","0.13","0.14","0.13","0.13","0.13","0.13","0.13","0.12"
"Sierra Leone"," Data source"," Wine","0.34","0.22","0.09","0.15","0.09","0.09","0.06","0.11","0.04","0.04"
"Sierra Leone"," Data source"," Spirits","0.05","0.01","0.01","0.01","0.02","0.03","0.03","0.02","0","0.03"
"Sierra Leone"," Data source"," Other alcoholic beverages","3.41","3.42","3.44","3.38","3.42","3.56","3.65","3.64","3.81","3.56"
"Singapore"," Data source"," All types","1.73","1.69","1.59","1.55","1.49","1.44","1.43","2.16","2.08","2.02"
"Singapore"," Data source"," Beer","1.22","1.22","1.13","1.14","1.10","1.07","1.06","1.47","1.34","1.29"
"Singapore"," Data source"," Wine","0.23","0.23","0.22","0.20","0.18","0.17","0.15","0.20","0.13","0.12"
"Singapore"," Data source"," Spirits","0.25","0.22","0.22","0.19","0.18","0.17","0.17","0.49","0.61","0.61"
"Singapore"," Data source"," Other alcoholic beverages","0.03","0.03","0.03","0.03","0.03","0.03","0.04","0","0","0"
"Slovakia"," Data source"," All types","11.13","11.87","10.96","10.89","11.06","10.52","10.23","11.16","11.12","11.33"
"Slovakia"," Data source"," Beer","3.91","3.80","3.93","3.83","3.85","3.99","4.38","4.54","4.32","4.48"
"Slovakia"," Data source"," Wine","2.13","2.02","1.79","2.15","1.56","1.81","1.83","1.96","1.85","1.74"
"Slovakia"," Data source"," Spirits","4.62","5.58","4.89","4.31","5.41","4.23","3.65","4.29","4.57","4.86"
"Slovakia"," Data source"," Other alcoholic beverages","0.47","0.47","0.36","0.60","0.24","0.48","0.37","0.37","0.37","0.25"
"Slovenia"," Data source"," All types","10.52","10.94","11.02","12.26","11.19","10.01","11.55","9.87","11.58","12.80"
"Slovenia"," Data source"," Beer","5.09","5.16","5.70","5.70","4.70","4.51","4.51","4.32","4.65","5.13"
"Slovenia"," Data source"," Wine","4.55","4.58","4.08","5.43","5.22","4.18","5.46","3.86","5.07","5.82"
"Slovenia"," Data source"," Spirits","0.88","1.20","1.24","1.13","1.09","1.11","1.58","1.69","1.87","1.84"
"Slovenia"," Data source"," Other alcoholic beverages","0","0","0","0","0.19","0.20","0","0","0","0.01"
"Solomon Islands"," Data source"," All types","1.20","1.07","0.82","1.01","1.13","1.21","1.20","1.09","0.70","0.71"
"Solomon Islands"," Data source"," Beer","0.95","1.01","0.74","0.95","0.67","0.76","0.75","0.59","0.45","0.63"
"Solomon Islands"," Data source"," Wine","0.02","0.02","0.03","0.02","0.03","0.02","0.02","0.01","0.01","0.01"
"Solomon Islands"," Data source"," Spirits","0.22","0.04","0.05","0.03","0.41","0.42","0.43","0.48","0.24","0.07"
"Solomon Islands"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.02","0","0.00","0.00","0","0"
"Somalia"," Data source"," All types","0.00","0.00","0.00","0.00","0.00","0","0","0","0","0"
"Somalia"," Data source"," Beer","0.00","0.00","0.00","0.00","0.00","0","0","0","0","0"
"Somalia"," Data source"," Wine","0.00","0.00","0.00","0.00","0","0","0","0","0","0"
"Somalia"," Data source"," Spirits","0","0","0.00","0","0","0","0","0","0","0"
"Somalia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"South Africa"," Data source"," All types","7.25","7.46","7.50","7.30","7.17","7.20","7.32","7.47","7.56","7.70"
"South Africa"," Data source"," Beer","4.09","4.16","4.19","4.14","4.13","4.16","4.29","4.21","4.28","4.40"
"South Africa"," Data source"," Wine","1.27","1.35","1.37","1.33","1.34","1.38","1.38","1.58","1.60","1.60"
"South Africa"," Data source"," Spirits","1.31","1.39","1.39","1.36","1.32","1.31","1.30","1.33","1.33","1.39"
"South Africa"," Data source"," Other alcoholic beverages","0.57","0.56","0.54","0.47","0.39","0.35","0.35","0.36","0.35","0.32"
"Spain"," Data source"," All types","9.99","10.24","11.05","11.86","11.92","11.32","11.04","10.41","12.01","11.61"
"Spain"," Data source"," Beer","4.98","4.92","5.09","5.15","4.98","4.08","4.10","3.82","3.89","3.78"
"Spain"," Data source"," Wine","2.28","2.44","2.78","3.43","3.67","3.87","3.80","4.00","4.18","4.51"
"Spain"," Data source"," Spirits","2.73","2.88","3.18","3.28","3.27","3.37","3.15","2.59","3.93","3.33"
"Spain"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Sri Lanka"," Data source"," All types","2.05","2.10","2.29","1.96","1.97","1.56","1.69","1.62","1.68","1.45"
"Sri Lanka"," Data source"," Beer","0.20","0.20","0.20","0.20","0.30","0.17","0.15","0.15","0.10","0.10"
"Sri Lanka"," Data source"," Wine","0","0","0","0","0","0","0.01","0.01","0","0.01"
"Sri Lanka"," Data source"," Spirits","1.81","1.86","2.05","1.72","1.63","1.39","1.53","1.46","1.58","1.34"
"Sri Lanka"," Data source"," Other alcoholic beverages","0.04","0.04","0.04","0.04","0.04","0.00","0.00","0.00","0.00","0.00"
"Suriname"," Data source"," All types","4.93","4.82","4.69","4.57","4.52","4.66","4.70","4.58","4.41","4.46"
"Suriname"," Data source"," Beer","2.00","1.92","1.73","1.66","1.55","1.66","1.67","1.70","1.74","1.69"
"Suriname"," Data source"," Wine","0.13","0.13","0.12","0.12","0.12","0.11","0.11","0.10","0.09","0.08"
"Suriname"," Data source"," Spirits","2.65","2.62","2.69","2.64","2.75","2.79","2.83","2.69","2.48","2.60"
"Suriname"," Data source"," Other alcoholic beverages","0.15","0.15","0.15","0.14","0.09","0.09","0.09","0.09","0.09","0.09"
"Sweden"," Data source"," All types","7.31","7.02","6.98","6.81","6.53","6.51","6.88","6.88","6.50","6.20"
"Sweden"," Data source"," Beer","2.74","2.70","2.73","2.72","2.61","2.60","2.77","2.75","2.61","2.70"
"Sweden"," Data source"," Wine","3.31","3.09","3.04","2.86","2.71","2.68","2.71","2.62","2.40","2.20"
"Sweden"," Data source"," Spirits","1.13","1.11","1.09","1.10","1.09","1.11","1.27","1.39","1.40","1.30"
"Sweden"," Data source"," Other alcoholic beverages","0.13","0.12","0.12","0.13","0.12","0.12","0.13","0.12","0.09","0"
"Switzerland"," Data source"," All types","10.15","10.29","10.44","10.24","10.15","10.54","10.82","10.85","11.12","11.26"
"Switzerland"," Data source"," Beer","3.30","3.31","3.32","3.21","3.11","3.24","3.37","3.25","3.38","3.39"
"Switzerland"," Data source"," Wine","4.84","4.97","5.10","5.00","5.14","5.27","5.41","5.54","5.68","5.81"
"Switzerland"," Data source"," Spirits","1.89","1.89","1.90","1.91","1.79","1.92","1.92","1.93","1.93","1.94"
"Switzerland"," Data source"," Other alcoholic beverages","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12"
"Syrian Arab Republic"," Data source"," All types","0.76","0.75","0.74","0.75","0.79","0.61","0.86","0.90","0.95","0.93"
"Syrian Arab Republic"," Data source"," Beer","0.10","0.07","0.05","0.04","0.04","0.04","0.04","0.04","0.04","0.04"
"Syrian Arab Republic"," Data source"," Wine","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Syrian Arab Republic"," Data source"," Spirits","0.66","0.68","0.69","0.71","0.74","0.56","0.82","0.86","0.91","0.89"
"Syrian Arab Republic"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Tajikistan"," Data source"," All types","0.66","0.56","0.54","0.56","0.65","0.70","0.74","0.80","0.80","0.81"
"Tajikistan"," Data source"," Beer","0.24","0.30","0.19","0.16","0.15","0.13","0.14","0.14","0.14","0.14"
"Tajikistan"," Data source"," Wine","0.02","0.05","0.08","0.11","0.18","0.18","0.19","0.19","0.18","0.12"
"Tajikistan"," Data source"," Spirits","0.39","0.21","0.26","0.29","0.32","0.38","0.41","0.47","0.48","0.54"
"Tajikistan"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Thailand"," Data source"," All types","6.74","7.54","6.12","6.10","6.19","6.10","6.07","5.86","5.84","5.81"
"Thailand"," Data source"," Beer","2.01","2.24","1.97","1.95","1.68","1.59","1.57","1.28","1.20","1.11"
"Thailand"," Data source"," Wine","0.14","0.16","0.02","0.02","0.02","0.02","0.02","0.01","0.01","0.01"
"Thailand"," Data source"," Spirits","4.59","5.14","4.13","4.13","4.49","4.49","4.48","4.56","4.63","4.68"
"Thailand"," Data source"," Other alcoholic beverages","6.74","7.54","6.12","6.10","6.19","6.10","6.07","5.86","5.84","5.81"
"Timor-Leste"," Data source"," All types","0.09","0.06","0.05","0.04","0.35","0.39","0.44","0.48","0.50","0.50"
"Timor-Leste"," Data source"," Beer","0.01","0.01","0.00","0.01","0.34","0.36","0.37","0.41","0.42","0.43"
"Timor-Leste"," Data source"," Wine","0.06","0.04","0.03","0.02","0.02","0.02","0.03","0.03","0.03","0.03"
"Timor-Leste"," Data source"," Spirits","0.01","0.01","0.01","0.01","0.00","0.01","0.04","0.04","0.05","0.05"
"Timor-Leste"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Togo"," Data source"," All types","1.16","1.44","1.52","2.01","1.84","1.61","0.89","0.86","0.88","1.08"
"Togo"," Data source"," Beer","0.66","0.65","0.58","0.49","0.47","0.46","0.46","0.43","0.42","0.44"
"Togo"," Data source"," Wine","0.09","0.34","0.39","0.42","0.31","0.33","0.14","0.08","0.14","0.10"
"Togo"," Data source"," Spirits","0.07","0.11","0.15","0.72","0.78","0.64","0.02","0.04","0.06","0.24"
"Togo"," Data source"," Other alcoholic beverages","0.34","0.35","0.39","0.39","0.28","0.18","0.27","0.31","0.26","0.30"
"Tonga"," Data source"," All types","1.08","1.10","2.05","1.79","1.89","1.79","1.79","1.50","1.34","1.22"
"Tonga"," Data source"," Beer","0.62","0.62","0.87","0.87","0.88","0.89","0.89","0.89","0.65","0.66"
"Tonga"," Data source"," Wine","0.12","0.11","0.16","0.09","0.28","0.30","0.22","0.08","0.10","0.10"
"Tonga"," Data source"," Spirits","0.35","0.36","1.02","0.83","0.63","0.43","0.55","0.51","0.59","0.46"
"Tonga"," Data source"," Other alcoholic beverages","0","0","0","0","0.10","0.18","0.13","0.02","0","0"
"Trinidad and Tobago"," Data source"," All types","5.93","5.99","6.03","6.05","5.75","5.52","5.44","5.25","4.70","4.81"
"Trinidad and Tobago"," Data source"," Beer","2.83","2.80","2.81","2.83","2.74","2.67","2.57","2.53","2.05","2.12"
"Trinidad and Tobago"," Data source"," Wine","0.19","0.22","0.19","0.18","0.17","0.17","0.18","0.17","0.17","0.18"
"Trinidad and Tobago"," Data source"," Spirits","2.83","2.88","2.92","2.91","2.72","2.64","2.64","2.51","2.43","2.46"
"Trinidad and Tobago"," Data source"," Other alcoholic beverages","0.08","0.09","0.12","0.12","0.11","0.04","0.04","0.04","0.04","0.04"
"Tunisia"," Data source"," All types","1.36","1.28","1.17","1.32","1.25","1.22","1.19","1.15","1.18","1.20"
"Tunisia"," Data source"," Beer","0.96","0.93","0.91","0.88","0.85","0.82","0.79","0.78","0.74","0.78"
"Tunisia"," Data source"," Wine","0.29","0.29","0.19","0.38","0.34","0.35","0.36","0.34","0.40","0.37"
"Tunisia"," Data source"," Spirits","0.10","0.05","0.06","0.06","0.06","0.06","0.04","0.04","0.04","0.04"
"Tunisia"," Data source"," Other alcoholic beverages","0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Turkey"," Data source"," All types","1.52","1.51","1.37","1.39","1.39","1.48","1.53","1.59","1.60","1.66"
"Turkey"," Data source"," Beer","0.91","0.92","0.85","0.82","0.83","0.85","0.85","0.83","0.80","0.82"
"Turkey"," Data source"," Wine","0.11","0.09","0.06","0.06","0.07","0.05","0.04","0.04","0.06","0.05"
"Turkey"," Data source"," Spirits","0.51","0.50","0.46","0.51","0.49","0.58","0.64","0.72","0.75","0.78"
"Turkey"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Turkmenistan"," Data source"," All types","2.00","2.12","2.23","2.54","2.63","2.58","2.57","2.41","2.36","2.89"
"Turkmenistan"," Data source"," Beer","0.15","0.22","0.30","0.48","0.45","0.38","0.35","0.18","0.10","0.08"
"Turkmenistan"," Data source"," Wine","0.58","0.66","0.70","0.82","0.92","0.95","0.96","0.97","0.98","1.51"
"Turkmenistan"," Data source"," Spirits","1.27","1.23","1.23","1.24","1.25","1.25","1.25","1.26","1.28","1.30"
"Turkmenistan"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Tuvalu"," Data source"," All types","1.27","1.04","0.58","1.25","0.65","2.20","1.52","0.54","2.07","1.32"
"Tuvalu"," Data source"," Beer","0.06","0.11","0.03","0.85","0.02","0.05","0.11","0.32","1.15","0.92"
"Tuvalu"," Data source"," Wine","0.49","0.15","0.06","0.03","0.01","0.26","0.06","0.10","0.13","0.13"
"Tuvalu"," Data source"," Spirits","0.72","0.78","0.49","0.37","0.62","1.89","1.34","0.13","0.79","0.27"
"Tuvalu"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Uganda"," Data source"," All types","11.10","11.37","10.77","10.97","11.30","11.06","11.37","11.64","11.80","11.68"
"Uganda"," Data source"," Beer","0.64","0.53","0.58","0.55","0.51","0.43","0.43","0.44","0.49","0.57"
"Uganda"," Data source"," Wine","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Uganda"," Data source"," Spirits","0.55","0.57","0.17","0.18","0.19","0.21","0.18","0.19","0.19","0.20"
"Uganda"," Data source"," Other alcoholic beverages","9.90","10.26","10.01","10.23","10.60","10.41","10.76","11.01","11.11","10.91"
"Ukraine"," Data source"," All types","8.97","9.41","8.12","7.42","6.82","6.51","6.81","7.13","7.31","6.95"
"Ukraine"," Data source"," Beer","3.34","3.60","3.58","3.03","2.69","2.18","1.95","1.74","1.52","1.28"
"Ukraine"," Data source"," Wine","0.49","0.48","0.45","0.42","0.39","0.52","0.53","0.54","0.38","0.36"
"Ukraine"," Data source"," Spirits","5.06","5.24","4.02","3.91","3.70","3.81","4.33","4.85","5.41","5.30"
"Ukraine"," Data source"," Other alcoholic beverages","0.08","0.09","0.08","0.06","0.05","0.00","0.00","0.00","0.00","0.00"
"United Arab Emirates"," Data source"," All types","1.76","1.86","2.28","2.46","2.68","1.59","1.57","1.60","1.62","1.66"
"United Arab Emirates"," Data source"," Beer","0.23","0.28","0.30","0.33","0.40","0.45","0.49","0.51","0.52","0.54"
"United Arab Emirates"," Data source"," Wine","0.12","0.13","0.12","0.12","0.13","0.13","0.07","0.07","0.07","0.07"
"United Arab Emirates"," Data source"," Spirits","1.41","1.44","1.85","1.99","2.14","1.00","1.01","1.00","1.02","1.03"
"United Arab Emirates"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," All types","9.98","10.66","11.06","10.93","11.38","11.58","11.28","11.33","11.31","10.82"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," Beer","3.78","4.17","4.42","4.69","4.85","5.11","5.17","5.12","5.06","4.98"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," Wine","3.17","3.40","3.51","3.25","3.42","3.33","3.05","3.28","3.60","3.25"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," Spirits","2.12","2.26","2.33","2.25","2.46","2.52","2.45","2.33","2.03","1.96"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," Other alcoholic beverages","0.91","0.82","0.80","0.75","0.65","0.63","0.60","0.61","0.62","0.63"
"United Republic of Tanzania"," Data source"," All types","6.26","4.96","6.89","6.09","5.74","5.69","3.45","5.14","6.25","5.96"
"United Republic of Tanzania"," Data source"," Beer","0.68","0.76","0.77","0.64","0.56","0.51","0.49","0.46","0.49","0.51"
"United Republic of Tanzania"," Data source"," Wine","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"United Republic of Tanzania"," Data source"," Spirits","0.20","0.18","0.15","0.15","0.15","0.12","0.09","0.11","0.09","0.10"
"United Republic of Tanzania"," Data source"," Other alcoholic beverages","5.37","4.01","5.97","5.29","5.03","5.06","2.86","4.56","5.66","5.35"
"United States of America"," Data source"," All types","8.67","8.74","8.74","8.63","8.55","8.48","8.40","8.33","8.25","8.21"
"United States of America"," Data source"," Beer","4.43","4.54","4.58","4.54","4.54","4.58","4.58","4.66","4.66","4.62"
"United States of America"," Data source"," Wine","1.48","1.44","1.44","1.40","1.36","1.32","1.29","1.25","1.17","1.17"
"United States of America"," Data source"," Spirits","2.76","2.76","2.73","2.69","2.65","2.57","2.54","2.42","2.42","2.42"
"United States of America"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Uruguay"," Data source"," All types","6.45","6.54","6.51","6.45","6.26","5.88","5.40","6.08","6.90","7.11"
"Uruguay"," Data source"," Beer","1.75","1.77","1.55","1.44","1.31","1.10","0.85","1.00","1.19","1.37"
"Uruguay"," Data source"," Wine","3.75","3.86","4.07","4.12","4.18","4.08","3.89","4.33","4.76","4.88"
"Uruguay"," Data source"," Spirits","0.96","0.90","0.90","0.89","0.77","0.69","0.65","0.75","0.95","0.87"
"Uruguay"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Uzbekistan"," Data source"," All types","1.70","1.72","1.75","1.81","1.76","2.82","2.92","2.73","2.92","3.03"
"Uzbekistan"," Data source"," Beer","0.81","0.75","0.64","0.60","0.45","0.35","0.27","0.24","0.23","0.20"
"Uzbekistan"," Data source"," Wine","0.07","0.14","0.16","0.14","0.16","0.24","0.32","0.24","0.31","0.30"
"Uzbekistan"," Data source"," Spirits","0.82","0.82","0.95","1.07","1.15","2.24","2.32","2.25","2.38","2.53"
"Uzbekistan"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Vanuatu"," Data source"," All types","0.83","1.17","1.01","1.00","0.89","0.85","0.88","0.90","0.76","0.82"
"Vanuatu"," Data source"," Beer","0.32","0.32","0.45","0.46","0.47","0.49","0.51","0.52","0.40","0.46"
"Vanuatu"," Data source"," Wine","0.23","0.28","0.17","0.18","0.22","0.17","0.18","0.19","0.16","0.16"
"Vanuatu"," Data source"," Spirits","0.28","0.57","0.39","0.36","0.19","0.19","0.19","0.19","0.19","0.19"
"Vanuatu"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Venezuela (Bolivarian Republic of)"," Data source"," All types","7.75","8.41","8.89","8.37","7.98","7.58","6.39","6.99","8.15","8.09"
"Venezuela (Bolivarian Republic of)"," Data source"," Beer","5.79","6.36","6.85","6.38","6.17","5.95","4.40","5.17","6.02","5.61"
"Venezuela (Bolivarian Republic of)"," Data source"," Wine","0.27","0.34","0.31","0.25","0.18","0.14","0.11","0.13","0.18","0.16"
"Venezuela (Bolivarian Republic of)"," Data source"," Spirits","1.63","1.66","1.69","1.71","1.60","1.50","1.88","1.69","1.95","2.32"
"Venezuela (Bolivarian Republic of)"," Data source"," Other alcoholic beverages","0.06","0.05","0.05","0.04","0.03","0.00","0.00","0.00","0.00","0.00"
"Viet Nam"," Data source"," All types","1.97","1.78","1.51","1.35","1.19","1.13","0.93","0.82","0.76","0.71"
"Viet Nam"," Data source"," Beer","1.81","1.63","1.43","1.28","1.12","1.07","0.88","0.77","0.72","0.69"
"Viet Nam"," Data source"," Wine","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00"
"Viet Nam"," Data source"," Spirits","0.15","0.14","0.07","0.07","0.06","0.05","0.05","0.04","0.04","0.02"
"Viet Nam"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Yemen"," Data source"," All types","0.03","0.04","0.05","0.04","0.04","0.06","0.04","0.07","0.08","0.07"
"Yemen"," Data source"," Beer","0.03","0.04","0.05","0.04","0.03","0.05","0.04","0.06","0.08","0.07"
"Yemen"," Data source"," Wine","0","0","0","0","0","0","0","0","0","0"
"Yemen"," Data source"," Spirits","0","0.00","0.00","0.00","0.00","0.01","0","0.01","0","0"
"Yemen"," Data source"," Other alcoholic beverages","0","0.00","0.00","0","0","0","0","0","0","0"
"Zambia"," Data source"," All types","3.05","2.66","3.17","2.73","2.41","2.75","2.39","2.61","2.80","2.82"
"Zambia"," Data source"," Beer","0.46","0.46","0.43","0.43","0.41","0.46","0.45","0.47","0.50","0.50"
"Zambia"," Data source"," Wine","0.59","0.36","0.41","0.25","0.11","0.34","0.09","0.20","0.22","0.22"
"Zambia"," Data source"," Spirits","0.34","0.29","0.28","0.28","0.27","0.27","0.25","0.26","0.24","0.20"
