"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Czechia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Democratic People's Republic of Korea"," Data source"," All types","3.30","3.30","3.30","3.30","3.36","3.34","3.60","3.38","3.11"
"Democratic People's Republic of Korea"," Data source"," Beer","0.06","0.06","0.06","0.06","0.06","0.09","0.09","0.15","0.16"
"Democratic People's Republic of Korea"," Data source"," Wine","0.00","0.00","0.00","0.00","0.00","0","0","0","0"
"Democratic People's Republic of Korea"," Data source"," Spirits","3.24","3.24","3.24","3.24","3.29","3.25","3.51","3.23","2.95"
"Democratic People's Republic of Korea"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0","0","0","0"
"Democratic Republic of the Congo"," Data source"," All types","0.58","0.58","0.61","0.60","0.80","0.83","0.73","0.71","0.63"
"Democratic Republic of the Congo"," Data source"," Beer","0.54","0.54","0.57","0.55","0.75","0.79","0.69","0.67","0.60"
"Democratic Republic of the Congo"," Data source"," Wine","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0"
"Democratic Republic of the Congo"," Data source"," Spirits","0.03","0.03","0.03","0.04","0.04","0.04","0.03","0.03","0.02"
"Democratic Republic of the Congo"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Denmark"," Data source"," All types","9.31","9.30","9.51","9.42","9.56","9.44","9.23","10.45","10.27"
"Denmark"," Data source"," Beer","3.45","3.43","3.56","3.45","3.57","3.48","3.55","3.81","3.86"
"Denmark"," Data source"," Wine","4.22","4.15","4.25","4.26","4.31","4.31","4.09","5.04","4.92"
"Denmark"," Data source"," Spirits","1.65","1.64","1.62","1.65","1.59","1.57","1.51","1.51","1.44"
"Denmark"," Data source"," Other alcoholic beverages","0","0.08","0.08","0.07","0.08","0.07","0.08","0.10","0.05"
"Djibouti"," Data source"," All types","0.25","0.28","0.33","0.32","0.33","0.36","0.41","0.39","0.49"
"Djibouti"," Data source"," Beer","0.09","0.09","0.11","0.10","0.08","0.11","0.17","0.13","0.23"
"Djibouti"," Data source"," Wine","0.02","0.02","0.02","0.02","0.02","0.03","0.03","0.04","0.03"
"Djibouti"," Data source"," Spirits","0.14","0.16","0.19","0.19","0.22","0.22","0.21","0.22","0.23"
"Djibouti"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Dominica"," Data source"," All types","9.63","9.63","9.88","9.97","9.99","10.20","10.10","10.11","10.22"
"Dominica"," Data source"," Beer","2.11","2.11","2.37","2.34","2.34","2.32","2.29","2.23","2.17"
"Dominica"," Data source"," Wine","0.29","0.29","0.29","0.29","0.24","0.41","0.27","0.28","0.39"
"Dominica"," Data source"," Spirits","7.23","7.23","7.23","7.34","7.41","7.47","7.54","7.60","7.66"
"Dominica"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Dominican Republic"," Data source"," All types","5.54","5.60","5.55","5.59","5.47","5.53","5.52","5.48","5.54"
"Dominican Republic"," Data source"," Beer","2.97","2.97","2.87","2.83","2.78","2.77","2.74","2.69","2.66"
"Dominican Republic"," Data source"," Wine","0.33","0.33","0.34","0.36","0.31","0.26","0.24","0.22","0.20"
"Dominican Republic"," Data source"," Spirits","2.18","2.24","2.28","2.34","2.33","2.43","2.48","2.50","2.61"
"Dominican Republic"," Data source"," Other alcoholic beverages","0.06","0.05","0.05","0.07","0.06","0.06","0.06","0.07","0.07"
"Ecuador"," Data source"," All types","3.16","3.08","3.34","3.88","3.98","3.98","4.12","4.21","4.28"
"Ecuador"," Data source"," Beer","2.30","2.30","2.53","3.00","3.00","2.96","2.88","2.78","2.68"
"Ecuador"," Data source"," Wine","0.23","0.23","0.23","0.23","0.25","0.25","0.26","0.26","0.37"
"Ecuador"," Data source"," Spirits","0.60","0.53","0.55","0.62","0.72","0.75","0.96","1.15","1.21"
"Ecuador"," Data source"," Other alcoholic beverages","0.03","0.03","0.02","0.02","0.02","0.02","0.02","0.01","0.02"
"Egypt"," Data source"," All types","0.13","0.13","0.15","0.18","0.19","0.19","0.19","0.19","0.20"
"Egypt"," Data source"," Beer","0.08","0.08","0.09","0.11","0.11","0.11","0.11","0.11","0.11"
"Egypt"," Data source"," Wine","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Egypt"," Data source"," Spirits","0.04","0.04","0.04","0.06","0.07","0.06","0.07","0.06","0.07"
"Egypt"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"El Salvador"," Data source"," All types","2.82","2.81","2.64","2.54","2.45","2.34","2.41","2.31","2.29"
"El Salvador"," Data source"," Beer","1.39","1.39","1.27","1.16","1.07","1.04","1.00","0.93","0.92"
"El Salvador"," Data source"," Wine","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.04","0.04"
"El Salvador"," Data source"," Spirits","1.38","1.37","1.32","1.33","1.32","1.25","1.36","1.33","1.33"
"El Salvador"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.00"
"Equatorial Guinea"," Data source"," All types","5.68","5.98","7.26","8.05","8.57","8.88","9.71","9.30","8.88"
"Equatorial Guinea"," Data source"," Beer","3.50","3.50","4.90","5.70","5.92","6.20","5.67","5.30","4.52"
"Equatorial Guinea"," Data source"," Wine","0.94","1.15","1.11","1.17","1.32","1.07","2.46","2.39","2.61"
"Equatorial Guinea"," Data source"," Spirits","1.19","1.27","1.18","1.11","1.27","1.55","1.52","1.55","1.72"
"Equatorial Guinea"," Data source"," Other alcoholic beverages","0.06","0.06","0.06","0.06","0.07","0.06","0.06","0.05","0.04"
"Eritrea"," Data source"," All types","0.67","0.67","0.68","0.72","0.73","0.74","0.75","0.88","0.84"
"Eritrea"," Data source"," Beer","0.30","0.30","0.31","0.36","0.36","0.37","0.38","0.50","0.51"
"Eritrea"," Data source"," Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Eritrea"," Data source"," Spirits","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Eritrea"," Data source"," Other alcoholic beverages","0.37","0.37","0.37","0.37","0.37","0.37","0.37","0.38","0.34"
"Estonia"," Data source"," All types","11.20","13.27","15.95","16.70","17.35","17.77","16.91","16.18","14.83"
"Estonia"," Data source"," Beer","3.58","4.77","5.50","5.71","5.88","5.90","5.84","5.65","5.55"
"Estonia"," Data source"," Wine","1.89","2.15","2.32","2.21","2.14","2.14","1.98","1.82","1.62"
"Estonia"," Data source"," Spirits","4.62","4.89","6.29","6.82","7.11","7.47","7.11","6.90","5.94"
"Estonia"," Data source"," Other alcoholic beverages","1.11","1.46","1.83","1.96","2.22","2.26","1.97","1.81","1.72"
"Eswatini"," Data source"," All types","7.46","7.46","7.50","7.29","7.38","6.47","5.50","5.93","5.66"
"Eswatini"," Data source"," Beer","1.94","1.94","1.98","1.77","1.68","1.76","1.53","1.63","1.65"
"Eswatini"," Data source"," Wine","1.19","1.19","1.19","1.19","1.37","0.37","0.06","0.06","0.05"
"Eswatini"," Data source"," Spirits","0","0","0","0","0","0","0","0.13","0.02"
"Eswatini"," Data source"," Other alcoholic beverages","4.33","4.33","4.33","4.33","4.33","4.33","3.92","4.11","3.94"
"Ethiopia"," Data source"," All types","0.95","0.95","0.86","0.62","0.53","0.46","0.44","0.35","0.31"
"Ethiopia"," Data source"," Beer","0.92","0.92","0.82","0.58","0.50","0.43","0.41","0.32","0.28"
"Ethiopia"," Data source"," Wine","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Ethiopia"," Data source"," Spirits","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Ethiopia"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Fiji"," Data source"," All types","2.42","2.42","2.41","2.43","2.49","2.51","2.24","2.13","2.25"
"Fiji"," Data source"," Beer","1.52","1.52","1.53","1.54","1.66","1.64","1.57","1.49","1.35"
"Fiji"," Data source"," Wine","0.26","0.26","0.24","0.25","0.19","0.23","0.03","0.02","0.02"
"Fiji"," Data source"," Spirits","0.64","0.64","0.64","0.64","0.64","0.64","0.64","0.62","0.88"
"Fiji"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0.00","0.00"
"Finland"," Data source"," All types","8.37","8.37","8.44","8.52","8.76","9.08","9.27","9.81","9.72"
"Finland"," Data source"," Beer","3.97","4.04","4.11","4.13","4.17","4.28","4.27","4.61","4.47"
"Finland"," Data source"," Wine","1.72","1.75","1.74","1.75","1.80","1.84","1.89","1.89","1.86"
"Finland"," Data source"," Spirits","1.10","1.14","1.15","1.18","1.24","1.30","1.38","1.44","1.50"
"Finland"," Data source"," Other alcoholic beverages","1.58","1.44","1.43","1.45","1.54","1.65","1.74","1.87","1.89"
"France"," Data source"," All types","11.24","11.69","11.74","11.87","12.07","11.73","12.22","12.35","12.30"
"France"," Data source"," Beer","2.43","2.30","2.21","2.16","2.26","1.80","2.15","2.10","2.18"
"France"," Data source"," Wine","6.29","6.79","6.90","7.09","7.04","7.13","7.33","7.41","7.27"
"France"," Data source"," Spirits","2.35","2.41","2.43","2.42","2.47","2.50","2.54","2.64","2.65"
"France"," Data source"," Other alcoholic beverages","0.17","0.19","0.20","0.20","0.30","0.30","0.20","0.20","0.20"
"Gabon"," Data source"," All types","7.16","7.19","7.50","8.15","8.24","7.60","7.41","7.90","8.23"
"Gabon"," Data source"," Beer","5.66","5.66","5.87","6.37","6.39","5.52","5.24","5.28","5.51"
"Gabon"," Data source"," Wine","0.77","0.77","0.77","0.77","0.73","0.82","0.89","1.09","1.14"
"Gabon"," Data source"," Spirits","0.68","0.70","0.79","0.93","1.03","1.15","1.19","1.46","1.53"
"Gabon"," Data source"," Other alcoholic beverages","0.05","0.05","0.07","0.08","0.09","0.10","0.09","0.07","0.05"
"Gambia"," Data source"," All types","2.80","2.80","2.79","2.96","2.93","2.89","2.96","2.92","3.06"
"Gambia"," Data source"," Beer","0.14","0.14","0.14","0.25","0.25","0.22","0.21","0.17","0.16"
"Gambia"," Data source"," Wine","0.02","0.02","0.02","0.06","0.04","0.02","0.02","0.02","0.02"
"Gambia"," Data source"," Spirits","0","0","0","0","0","0","0","0.01","0.01"
"Gambia"," Data source"," Other alcoholic beverages","2.64","2.64","2.64","2.64","2.64","2.64","2.73","2.72","2.86"
"Georgia"," Data source"," All types","5.44","5.83","7.51","7.52","6.86","6.70","7.12","8.12","7.53"
"Georgia"," Data source"," Beer","1.64","1.64","1.41","1.41","1.39","1.38","1.28","1.95","1.42"
"Georgia"," Data source"," Wine","1.15","1.53","3.29","3.10","2.37","2.25","2.75","3.19","3.16"
"Georgia"," Data source"," Spirits","2.63","2.65","2.79","3.00","3.09","3.05","3.09","2.98","2.94"
"Georgia"," Data source"," Other alcoholic beverages","0.02","0.02","0.02","0.02","0.01","0.01","0.01","0.00","0.00"
"Germany"," Data source"," All types","10.81","10.81","10.93","11.05","11.06","11.07","11.31","11.32","11.21"
"Germany"," Data source"," Beer","5.64","5.64","5.75","5.87","5.87","5.88","6.00","6.01","6.21"
"Germany"," Data source"," Wine","3.11","3.11","3.11","3.11","3.11","3.11","3.23","3.24","3.22"
"Germany"," Data source"," Spirits","2.07","2.07","2.07","2.07","2.07","2.07","2.08","2.08","2.15"
"Germany"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Ghana"," Data source"," All types","1.56","1.67","1.62","1.84","1.88","1.89","1.91","1.84","1.73"
"Ghana"," Data source"," Beer","0.49","0.49","0.48","0.47","0.46","0.43","0.44","0.48","0.48"
"Ghana"," Data source"," Wine","0","0","0","0.10","0.08","0.15","0.24","0.21","0.18"
"Ghana"," Data source"," Spirits","0.42","0.43","0.47","0.55","0.58","0.44","0.41","0.38","0.36"
"Ghana"," Data source"," Other alcoholic beverages","0.65","0.75","0.66","0.72","0.76","0.87","0.82","0.77","0.72"
"Greece"," Data source"," All types","6.10","6.40","6.37","6.57","6.96","7.44","7.50","7.34","8.20"
"Greece"," Data source"," Beer","1.99","1.99","2.05","2.00","2.04","2.07","2.07","2.06","2.20"
"Greece"," Data source"," Wine","2.63","2.88","2.84","3.08","3.37","3.81","3.88","3.59","4.08"
"Greece"," Data source"," Spirits","1.40","1.44","1.40","1.41","1.46","1.47","1.46","1.59","1.80"
"Greece"," Data source"," Other alcoholic beverages","0.09","0.09","0.09","0.08","0.08","0.09","0.09","0.09","0.12"
"Grenada"," Data source"," All types","9.14","9.12","8.87","8.69","8.54","8.53","8.51","8.37","8.36"
"Grenada"," Data source"," Beer","3.78","3.78","3.63","3.57","3.56","3.58","3.57","3.55","3.55"
"Grenada"," Data source"," Wine","0.69","0.67","0.67","0.67","0.68","0.67","0.64","0.64","0.61"
"Grenada"," Data source"," Spirits","4.34","4.33","4.30","4.16","4.01","4.05","4.09","3.99","3.99"
"Grenada"," Data source"," Other alcoholic beverages","0.33","0.33","0.27","0.29","0.29","0.23","0.20","0.20","0.20"
"Guatemala"," Data source"," All types","1.62","1.60","1.59","1.64","1.68","1.82","1.90","2.04","2.02"
"Guatemala"," Data source"," Beer","0.90","0.90","0.91","0.90","0.94","0.93","0.93","0.86","0.83"
"Guatemala"," Data source"," Wine","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03"
"Guatemala"," Data source"," Spirits","0.68","0.66","0.65","0.69","0.70","0.85","0.94","1.14","1.16"
"Guatemala"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Guinea"," Data source"," All types","0.31","0.31","0.35","0.37","0.31","0.24","0.23","0.22","0.20"
"Guinea"," Data source"," Beer","0.27","0.27","0.30","0.32","0.27","0.20","0.20","0.19","0.15"
"Guinea"," Data source"," Wine","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.02","0.03"
"Guinea"," Data source"," Spirits","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Guinea"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0","0","0","0"
"Guinea-Bissau"," Data source"," All types","3.23","3.23","3.10","2.98","2.97","2.86","2.96","3.11","2.98"
"Guinea-Bissau"," Data source"," Beer","0.41","0.41","0.41","0.41","0.41","0.41","0.47","0.52","0.46"
"Guinea-Bissau"," Data source"," Wine","1.18","1.18","1.05","0.93","0.91","0.81","0.90","0.91","0.70"
"Guinea-Bissau"," Data source"," Spirits","0.41","0.41","0.41","0.41","0.41","0.41","0.42","0.55","0.55"
"Guinea-Bissau"," Data source"," Other alcoholic beverages","1.23","1.23","1.23","1.23","1.23","1.23","1.16","1.14","1.28"
"Guyana"," Data source"," All types","5.42","5.56","5.88","5.94","6.29","6.14","6.11","6.01","5.92"
"Guyana"," Data source"," Beer","2.60","2.60","2.60","2.53","2.53","2.49","2.44","2.36","2.28"
"Guyana"," Data source"," Wine","0.47","0.50","0.52","0.43","0.41","0.38","0.35","0.34","0.32"
"Guyana"," Data source"," Spirits","2.32","2.44","2.73","2.95","3.33","3.25","3.30","3.29","3.30"
"Guyana"," Data source"," Other alcoholic beverages","0.02","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03"
"Haiti"," Data source"," All types","2.74","2.80","2.72","2.67","2.69","2.88","2.47","2.40","2.32"
"Haiti"," Data source"," Beer","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.12","0.11"
"Haiti"," Data source"," Wine","0.10","0.10","0.08","0.08","0.08","0.08","0.08","0.08","0.07"
"Haiti"," Data source"," Spirits","2.51","2.56","2.50","2.45","2.47","2.67","2.26","2.19","2.13"
"Haiti"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Honduras"," Data source"," All types","2.73","2.68","2.54","2.51","2.43","2.69","2.70","2.72","2.69"
"Honduras"," Data source"," Beer","1.49","1.49","1.34","1.22","1.14","1.14","1.13","1.12","1.08"
"Honduras"," Data source"," Wine","0.02","0.02","0.02","0.03","0.02","0.02","0.03","0.03","0.03"
"Honduras"," Data source"," Spirits","1.21","1.16","1.17","1.25","1.26","1.52","1.54","1.56","1.59"
"Honduras"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Hungary"," Data source"," All types","10.79","10.79","11.28","10.95","10.92","10.73","11.13","11.37","10.70"
"Hungary"," Data source"," Beer","3.96","3.96","3.93","3.92","3.90","3.78","4.08","4.05","3.90"
"Hungary"," Data source"," Wine","3.33","3.33","3.61","3.40","2.93","3.20","3.19","3.51","3.16"
"Hungary"," Data source"," Spirits","3.50","3.50","3.74","3.62","4.09","3.74","3.86","3.81","3.64"
"Hungary"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Iceland"," Data source"," All types","7.72","7.75","7.50","7.66","7.01","6.80","6.82","6.84","6.79"
"Iceland"," Data source"," Beer","4.39","4.42","4.24","4.26","3.86","3.74","3.77","3.68","3.71"
"Iceland"," Data source"," Wine","2.11","2.14","2.09","2.15","2.02","1.96","1.95","1.90","1.87"
"Iceland"," Data source"," Spirits","1.22","1.19","1.16","1.25","1.13","1.10","1.10","1.26","1.21"
"Iceland"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"India"," Data source"," All types","3.05","2.86","2.97","3.01","3.01","3.05","3.06","2.96","2.74"
"India"," Data source"," Beer","0.22","0.22","0.23","0.21","0.20","0.20","0.19","0.18","0.17"
"India"," Data source"," Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"India"," Data source"," Spirits","2.83","2.64","2.74","2.80","2.81","2.85","2.87","2.78","2.57"
"India"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Indonesia"," Data source"," All types","0.08","0.08","0.08","0.08","0.09","0.09","0.08","0.08","0.08"
"Indonesia"," Data source"," Beer","0.06","0.06","0.07","0.06","0.07","0.07","0.06","0.06","0.06"
"Indonesia"," Data source"," Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Indonesia"," Data source"," Spirits","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Indonesia"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Iran (Islamic Republic of)"," Data source"," All types","0.03","0.03","0.02","0.01","0.01","0.01","0.02","0.03","0.03"
"Iran (Islamic Republic of)"," Data source"," Beer","0","0","0","0","0","0","0","0","0"
"Iran (Islamic Republic of)"," Data source"," Wine","0","0","0","0","0","0","0","0.00","0.00"
"Iran (Islamic Republic of)"," Data source"," Spirits","0.03","0.03","0.02","0.01","0.01","0.01","0.02","0.03","0.03"
"Iran (Islamic Republic of)"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Iraq"," Data source"," All types","0.17","0.17","0.16","0.14","0.15","0.17","0.20","0.18","0.19"
"Iraq"," Data source"," Beer","0.12","0.12","0.11","0.09","0.10","0.12","0.14","0.12","0.14"
"Iraq"," Data source"," Wine","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.01","0.00"
"Iraq"," Data source"," Spirits","0.05","0.04","0.05","0.05","0.04","0.04","0.05","0.05","0.04"
"Iraq"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Ireland"," Data source"," All types","11.20","11.12","11.22","10.68","10.73","10.35","11.20","11.30","11.38"
"Ireland"," Data source"," Beer","5.12","5.04","5.19","5.04","5.12","4.92","5.23","5.31","5.48"
"Ireland"," Data source"," Wine","2.90","2.99","3.01","2.85","2.79","2.61","2.86","2.91","2.86"
"Ireland"," Data source"," Spirits","2.32","2.22","2.16","2.00","1.96","1.98","2.24","2.19","2.13"
"Ireland"," Data source"," Other alcoholic beverages","0.85","0.86","0.85","0.79","0.85","0.84","0.87","0.90","0.90"
"Israel"," Data source"," All types","2.99","2.98","2.69","2.71","2.69","2.87","2.85","2.78","2.74"
"Israel"," Data source"," Beer","1.74","1.74","1.50","1.56","1.52","1.51","1.43","1.38","1.32"
"Israel"," Data source"," Wine","0.07","0.07","0.07","0.07","0.07","0.10","0.12","0.13","0.13"
"Israel"," Data source"," Spirits","1.13","1.13","1.09","1.04","1.05","1.21","1.25","1.21","1.24"
"Israel"," Data source"," Other alcoholic beverages","0.04","0.04","0.04","0.04","0.04","0.05","0.05","0.05","0.06"
"Italy"," Data source"," All types","7.81","7.37","7.10","7.14","7.33","7.34","7.48","6.97","6.95"
"Italy"," Data source"," Beer","1.94","1.88","1.82","1.79","1.69","1.70","1.70","1.69","1.66"
"Italy"," Data source"," Wine","5.08","4.71","4.58","4.62","4.85","4.85","4.99","4.45","4.45"
"Italy"," Data source"," Spirits","0.79","0.79","0.69","0.74","0.79","0.79","0.79","0.84","0.84"
"Italy"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Jamaica"," Data source"," All types","3.63","3.47","3.38","3.48","3.42","3.44","3.37","3.35","3.37"
"Jamaica"," Data source"," Beer","1.24","1.24","1.21","1.12","1.06","1.03","1.00","1.00","0.98"
"Jamaica"," Data source"," Wine","0.36","0.35","0.34","0.38","0.39","0.42","0.45","0.47","0.57"
"Jamaica"," Data source"," Spirits","1.69","1.57","1.57","1.78","1.81","1.84","1.78","1.75","1.70"
"Jamaica"," Data source"," Other alcoholic beverages","0.35","0.30","0.26","0.20","0.17","0.15","0.14","0.13","0.13"
"Japan"," Data source"," All types","6.82","6.80","6.82","6.85","6.71","6.96","6.83","6.86","6.88"
"Japan"," Data source"," Beer","1.35","1.34","1.35","1.35","1.33","1.38","1.35","1.35","1.36"
"Japan"," Data source"," Wine","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25"
"Japan"," Data source"," Spirits","2.59","2.58","2.58","2.60","2.54","2.64","2.59","2.60","2.61"
"Japan"," Data source"," Other alcoholic beverages","2.64","2.63","2.64","2.65","2.60","2.69","2.64","2.65","2.66"
"Jordan"," Data source"," All types","0.28","0.30","0.32","0.32","0.37","0.37","0.38","0.40","0.48"
"Jordan"," Data source"," Beer","0.06","0.06","0.07","0.05","0.06","0.05","0.05","0.04","0.09"
"Jordan"," Data source"," Wine","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Jordan"," Data source"," Spirits","0.20","0.22","0.22","0.24","0.29","0.29","0.31","0.33","0.36"
"Jordan"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.01","0.01","0.01","0.01","0.01","0.01"
"Kazakhstan"," Data source"," All types","3.66","3.66","3.55","3.30","3.61","3.76","3.69","3.38","3.90"
"Kazakhstan"," Data source"," Beer","2.15","2.15","1.94","1.83","1.90","1.80","1.89","1.69","1.99"
"Kazakhstan"," Data source"," Wine","0.16","0.16","0.10","0.09","0.07","0.06","0.05","0.05","0.07"
"Kazakhstan"," Data source"," Spirits","1.35","1.35","1.51","1.38","1.55","1.90","1.75","1.64","1.84"
"Kazakhstan"," Data source"," Other alcoholic beverages","0","0","0","0","0.09","0","0","0","0"
"Kenya"," Data source"," All types","1.71","1.65","1.63","1.53","1.38","1.57","1.53","1.51","1.55"
"Kenya"," Data source"," Beer","0.80","0.80","0.77","0.72","0.62","0.90","0.94","0.91","0.96"
"Kenya"," Data source"," Wine","0.03","0.03","0.03","0.03","0.03","0.04","0.03","0.03","0.03"
"Kenya"," Data source"," Spirits","0.85","0.80","0.81","0.77","0.72","0.62","0.55","0.56","0.56"
"Kenya"," Data source"," Other alcoholic beverages","0.03","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Kiribati"," Data source"," All types","0.36","0.36","0.38","0.37","0.50","0.75","0.37","0.52","0.46"
"Kiribati"," Data source"," Beer","0.36","0.36","0.36","0.36","0.36","0.71","0.37","0.44","0.46"
"Kiribati"," Data source"," Wine","0.01","0.01","0.02","0.01","0.15","0.03","0.01","0.00","0.00"
"Kiribati"," Data source"," Spirits","0","0","0","0","0","0","0","0.08","0"
"Kiribati"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0.00"
"Kuwait"," Data source"," All types","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Kuwait"," Data source"," Beer","0","0","0","0","0","0","0","0.00","0"
"Kuwait"," Data source"," Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Kuwait"," Data source"," Spirits","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Kuwait"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Kyrgyzstan"," Data source"," All types","3.88","4.11","4.57","4.72","5.60","5.74","5.83","6.03","6.09"
"Kyrgyzstan"," Data source"," Beer","0.52","0.52","0.58","0.60","0.58","0.56","0.55","0.58","0.54"
"Kyrgyzstan"," Data source"," Wine","0.08","0.08","0.08","0.07","0.08","0.10","0.08","0.08","0.08"
"Kyrgyzstan"," Data source"," Spirits","3.28","3.51","3.91","4.05","4.93","5.08","5.19","5.36","5.47"
"Kyrgyzstan"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Lao People's Democratic Republic"," Data source"," All types","7.26","7.26","7.11","6.84","6.64","6.42","6.30","6.26","6.05"
"Lao People's Democratic Republic"," Data source"," Beer","3.85","3.85","3.70","3.43","3.23","3.01","2.82","2.61","2.43"
"Lao People's Democratic Republic"," Data source"," Wine","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.01"
"Lao People's Democratic Republic"," Data source"," Spirits","3.39","3.39","3.39","3.39","3.39","3.39","3.46","3.63","3.61"
"Lao People's Democratic Republic"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0.00","0.00"
"Latvia"," Data source"," All types","12.60","12.60","11.30","10.80","10.60","10.43","10.20","10.11","9.83"
"Latvia"," Data source"," Beer","5.30","5.30","4.80","4.80","4.80","4.70","4.67","4.86","4.61"
"Latvia"," Data source"," Wine","1.40","1.40","1.30","1.20","1.20","1.10","1.16","1.13","1.05"
"Latvia"," Data source"," Spirits","5.10","5.10","4.50","4.10","4.00","3.99","3.77","3.57","3.64"
"Latvia"," Data source"," Other alcoholic beverages","0.80","0.80","0.70","0.70","0.60","0.64","0.60","0.55","0.53"
"Lebanon"," Data source"," All types","1.33","1.32","1.27","1.24","1.27","1.27","1.33","1.41","1.50"
"Lebanon"," Data source"," Beer","0.44","0.44","0.41","0.38","0.37","0.30","0.32","0.35","0.41"
"Lebanon"," Data source"," Wine","0.24","0.24","0.25","0.25","0.24","0.25","0.24","0.22","0.22"
"Lebanon"," Data source"," Spirits","0.63","0.62","0.59","0.59","0.64","0.69","0.75","0.82","0.85"
"Lebanon"," Data source"," Other alcoholic beverages","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Lesotho"," Data source"," All types","2.82","2.82","2.89","2.81","2.60","2.58","2.46","2.40","2.80"
