Country,gender,liver-cirrhosis-death-population
Nicaragua,female,23.1
Niger,male,42.1
Niger,female,30.2
Nigeria,male,116.1
Nigeria,female,57.7
Norway,male,5
Norway,female,2.4
Oman,male,13.2
Oman,female,9.5
Pakistan,male,28.7
Pakistan,female,30.1
Panama,male,16
Panama,female,7.5
Papua New Guinea,male,45
Papua New Guinea,female,19.8
Paraguay,male,26
Paraguay,female,9
Peru,male,58.2
Peru,female,26.4
Philippines,male,21.1
Philippines,female,6.3
Poland,male,24.1
Poland,female,8.3
Portugal,male,18.6
Portugal,female,4.1
Qatar,male,19.4
Qatar,female,14.9
Republic of Korea,male,18.5
Republic of Korea,female,4.5
Republic of Moldova,male,97
Republic of Moldova,female,67.4
North Macedonia,male,12.9
North Macedonia,female,3.6
Romania,male,51.8
Romania,female,22.9
Russian Federation,male,40.3
Russian Federation,female,18.4
Rwanda,male,39
Rwanda,female,23.5
Saint Lucia,male,19.5
Saint Lucia,female,7.7
Saint Vincent and the Grenadines,male,13.6
Saint Vincent and the Grenadines,female,1.3
Samoa,male,20.5
Samoa,female,7.3
Sao Tome and Principe,male,100.8
Sao Tome and Principe,female,65.5
Saudi Arabia,male,31.9
Saudi Arabia,female,21.8
Senegal,male,46.8
Senegal,female,27.4
Serbia,male,13
Serbia,female,2.5
Seychelles,male,53.9
Seychelles,female,12.3
Sierra Leone,male,80.2
Sierra Leone,female,70.3
Singapore,male,4.4
Singapore,female,2.4
Slovakia,male,40.9
Slovakia,female,12.7
Slovenia,male,31.2
Slovenia,female,8.7
Solomon Islands,male,19
Solomon Islands,female,9.1
Somalia,male,49.9
Somalia,female,33.3
South Africa,male,28.9
South Africa,female,9.9
South Sudan,male,36.1
South Sudan,female,22.8
Spain,male,12.8
Spain,female,4.1
Sri Lanka,male,57.4
Sri Lanka,female,9.7
Sudan,male,41.9
Sudan,female,18.6
Suriname,male,39.5
Suriname,female,14.7
Sweden,male,8.4
Sweden,female,4.2
Switzerland,male,9.4
Switzerland,female,3.7
Syrian Arab Republic,male,17.8
Syrian Arab Republic,female,12.8
Tajikistan,male,39.9
Tajikistan,female,28.1
Thailand,male,36
Thailand,female,11.5
Timor-Leste,male,24.6
Timor-Leste,female,11.9
Togo,male,84.8
Togo,female,49.6
Tonga,male,23.7
Tonga,female,10.1
Trinidad and Tobago,male,13.9
Trinidad and Tobago,female,5.4
Tunisia,male,22
Tunisia,female,13.3
Turkey,male,14.2
Turkey,female,7.5
Turkmenistan,male,90.1
Turkmenistan,female,50.2
Uganda,male,44
Uganda,female,30.9
Ukraine,male,52
Ukraine,female,19.8
United Arab Emirates,male,13.6
United Arab Emirates,female,9.5
United Kingdom of Great Britain and Northern Ireland,male,14.7
United Kingdom of Great Britain and Northern Ireland,female,7.9
United Republic of Tanzania,male,34.7
United Republic of Tanzania,female,27.4
United States of America,male,19.7
United States of America,female,10
Uruguay,male,11.3
Uruguay,female,2
Uzbekistan,male,46.2
Uzbekistan,female,31.7
Vanuatu,male,16.2
Vanuatu,female,8.5
Venezuela (Bolivarian Republic of),male,25.3
Venezuela (Bolivarian Republic of),female,4.7
Viet Nam,male,44.5
Viet Nam,female,8.6
Yemen,male,32.2
Yemen,female,19.6
Zambia,male,50.2
Zambia,female,28.5
Zimbabwe,male,20.1
Zimbabwe,female,13.2
