country,year,limit,Service,Alcohol_Type
Timor-Leste,2016,None,service,spirits
Togo,2016,None,sale,beer
Togo,2016,None,sale,wine
Togo,2016,None,sale,spirits
Togo,2016,18,service,beer
Togo,2016,18,service,wine
Togo,2016,18,service,spirits
Tonga,2016,No data,sale,beer
Tonga,2016,No data,sale,wine
Tonga,2016,No data,sale,spirits
Tonga,2016,No data,service,beer
Tonga,2016,No data,service,wine
Tonga,2016,No data,service,spirits
Trinidad and Tobago,2016,18,sale,beer
Trinidad and Tobago,2016,18,sale,wine
Trinidad and Tobago,2016,18,sale,spirits
Trinidad and Tobago,2016,18,service,beer
Trinidad and Tobago,2016,18,service,wine
Trinidad and Tobago,2016,18,service,spirits
Tunisia,2016,No data,sale,beer
Tunisia,2016,No data,sale,wine
Tunisia,2016,No data,sale,spirits
Tunisia,2016,No data,service,beer
Tunisia,2016,No data,service,wine
Tunisia,2016,No data,service,spirits
Turkey,2016,18,sale,beer
Turkey,2016,18,sale,wine
Turkey,2016,18,sale,spirits
Turkey,2016,18,service,beer
Turkey,2016,18,service,wine
Turkey,2016,18,service,spirits
Turkmenistan,2016,18,sale,beer
Turkmenistan,2016,18,sale,wine
Turkmenistan,2016,18,sale,spirits
Turkmenistan,2016,18,service,beer
Turkmenistan,2016,18,service,wine
Turkmenistan,2016,18,service,spirits
Tuvalu,2016,No data,sale,beer
Tuvalu,2016,No data,sale,wine
Tuvalu,2016,No data,sale,spirits
Tuvalu,2016,No data,service,beer
Tuvalu,2016,No data,service,wine
Tuvalu,2016,No data,service,spirits
Uganda,2016,18,sale,beer
Uganda,2016,18,sale,wine
Uganda,2016,18,sale,spirits
Uganda,2016,18,service,beer
Uganda,2016,18,service,wine
Uganda,2016,18,service,spirits
Ukraine,2016,18,sale,beer
Ukraine,2016,18,sale,wine
Ukraine,2016,18,sale,spirits
Ukraine,2016,18,service,beer
Ukraine,2016,18,service,wine
Ukraine,2016,18,service,spirits
United Arab Emirates,2016,No data,sale,beer
United Arab Emirates,2016,No data,sale,wine
United Arab Emirates,2016,No data,sale,spirits
United Arab Emirates,2016,No data,service,beer
United Arab Emirates,2016,No data,service,wine
United Arab Emirates,2016,No data,service,spirits
United Kingdom of Great Britain and Northern Ireland,2016,18,sale,beer
United Kingdom of Great Britain and Northern Ireland,2016,18,sale,wine
United Kingdom of Great Britain and Northern Ireland,2016,18,sale,spirits
United Kingdom of Great Britain and Northern Ireland,2016,18,service,beer
United Kingdom of Great Britain and Northern Ireland,2016,18,service,wine
United Kingdom of Great Britain and Northern Ireland,2016,18,service,spirits
United Republic of Tanzania,2016,18,sale,beer
United Republic of Tanzania,2016,18,sale,wine
United Republic of Tanzania,2016,18,sale,spirits
United Republic of Tanzania,2016,18,service,beer
United Republic of Tanzania,2016,18,service,wine
United Republic of Tanzania,2016,18,service,spirits
United States of America,2016,21,sale,beer
United States of America,2016,21,sale,wine
United States of America,2016,21,sale,spirits
United States of America,2016,21,service,beer
United States of America,2016,21,service,wine
United States of America,2016,21,service,spirits
Uruguay,2016,18,sale,beer
Uruguay,2016,18,sale,wine
Uruguay,2016,18,sale,spirits
Uruguay,2016,18,service,beer
Uruguay,2016,18,service,wine
Uruguay,2016,18,service,spirits
Uzbekistan,2016,20,sale,beer
Uzbekistan,2016,20,sale,wine
Uzbekistan,2016,20,sale,spirits
Uzbekistan,2016,20,service,beer
Uzbekistan,2016,20,service,wine
Uzbekistan,2016,20,service,spirits
Vanuatu,2016,None,sale,beer
Vanuatu,2016,None,sale,wine
Vanuatu,2016,None,sale,spirits
Vanuatu,2016,None,service,beer
Vanuatu,2016,None,service,wine
Vanuatu,2016,None,service,spirits
Venezuela (Bolivarian Republic of),2016,18,sale,beer
Venezuela (Bolivarian Republic of),2016,18,sale,wine
Venezuela (Bolivarian Republic of),2016,18,sale,spirits
Venezuela (Bolivarian Republic of),2016,18,service,beer
Venezuela (Bolivarian Republic of),2016,18,service,wine
Venezuela (Bolivarian Republic of),2016,18,service,spirits
Viet Nam,2016,18,sale,beer
Viet Nam,2016,18,sale,wine
Viet Nam,2016,18,sale,spirits
Viet Nam,2016,18,service,beer
Viet Nam,2016,18,service,wine
Viet Nam,2016,18,service,spirits
Yemen,2016,Total ban,sale,beer
Yemen,2016,Total ban,sale,wine
Yemen,2016,Total ban,sale,spirits
Yemen,2016,Total ban,service,beer
Yemen,2016,Total ban,service,wine
Yemen,2016,Total ban,service,spirits
Zambia,2016,18,sale,beer
Zambia,2016,18,sale,wine
Zambia,2016,18,sale,spirits
Zambia,2016,18,service,beer
Zambia,2016,18,service,wine
Zambia,2016,18,service,spirits
Zimbabwe,2016,18,sale,beer
Zimbabwe,2016,18,sale,wine
Zimbabwe,2016,18,sale,spirits
Zimbabwe,2016,18,service,beer
Zimbabwe,2016,18,service,wine
Zimbabwe,2016,18,service,spirits
