country,year,gender,percentage
Lithuania,2005,Male,56
Lithuania,2005,Female,53
Luxembourg,2014,All,29
Luxembourg,2014,Male,32
Luxembourg,2014,Female,27
Luxembourg,2010,All,32
Luxembourg,2010,Male,33
Luxembourg,2010,Female,30
Luxembourg,2006,All,48
Luxembourg,2006,Male,48
Luxembourg,2006,Female,47
Luxembourg,2005,All,48
Luxembourg,2005,Male,48
Luxembourg,2005,Female,47
Malta,2014,All,25
Malta,2014,Male,25
Malta,2014,Female,25
Malta,2006,All,40
Malta,2006,Male,45
Malta,2006,Female,34
Malta,2005,All,40
Malta,2005,Male,45
Malta,2005,Female,34
Netherlands,2014,All,27
Netherlands,2014,Male,29
Netherlands,2014,Female,23
Netherlands,2010,All,43
Netherlands,2010,Male,46
Netherlands,2010,Female,39
Netherlands,2006,All,62
Netherlands,2006,Male,63
Netherlands,2006,Female,61
Netherlands,2005,All,62
Netherlands,2005,Male,63
Netherlands,2005,Female,61
Norway,2014,All,14
Norway,2014,Male,16
Norway,2014,Female,13
Norway,2010,All,19
Norway,2010,Male,20
Norway,2010,Female,18
Norway,2006,All,23
Norway,2006,Male,23
Norway,2006,Female,23
Norway,2005,All,23
Norway,2005,Male,23
Norway,2005,Female,23
Poland,2014,All,32
Poland,2014,Male,32
Poland,2014,Female,32
Poland,2010,All,48
Poland,2010,Male,53
Poland,2010,Female,43
Poland,2006,All,54
Poland,2006,Male,58
Poland,2006,Female,49
Poland,2005,All,54
Poland,2005,Male,58
Poland,2005,Female,49
Portugal,2014,All,38
Portugal,2014,Male,38
Portugal,2014,Female,37
Portugal,2010,All,42
Portugal,2010,Male,46
Portugal,2010,Female,38
Portugal,2006,All,45
Portugal,2006,Male,49
Portugal,2006,Female,42
Portugal,2005,All,45
Portugal,2005,Male,49
Portugal,2005,Female,42
Republic of Moldova,2014,All,28
Republic of Moldova,2014,Male,34
Republic of Moldova,2014,Female,22
North Macedonia,2014,All,24
North Macedonia,2014,Male,30
North Macedonia,2014,Female,17
North Macedonia,2010,All,32
North Macedonia,2010,Male,42
North Macedonia,2010,Female,22
North Macedonia,2006,All,30
North Macedonia,2006,Male,38
North Macedonia,2006,Female,22
North Macedonia,2005,All,30
North Macedonia,2005,Male,38
North Macedonia,2005,Female,22
Romania,2014,All,29
Romania,2014,Male,40
Romania,2014,Female,20
Romania,2010,All,27
Romania,2010,Male,33
Romania,2010,Female,22
Romania,2006,All,34
Romania,2006,Male,47
Romania,2006,Female,25
Romania,2005,All,34
Romania,2005,Male,47
Romania,2005,Female,25
Russian Federation,2014,All,16
Russian Federation,2014,Male,18
Russian Federation,2014,Female,15
Russian Federation,2010,All,26
Russian Federation,2010,Male,26
Russian Federation,2010,Female,25
Russian Federation,2006,All,43
Russian Federation,2006,Male,46
Russian Federation,2006,Female,40
Russian Federation,2005,All,43
Russian Federation,2005,Male,46
Russian Federation,2005,Female,40
Slovakia,2014,All,25
Slovakia,2014,Male,28
Slovakia,2014,Female,22
Slovakia,2010,All,32
Slovakia,2010,Male,36
Slovakia,2010,Female,27
Slovakia,2006,All,52
Slovakia,2006,Male,53
Slovakia,2006,Female,51
Slovakia,2005,All,52
Slovakia,2005,Male,53
Slovakia,2005,Female,51
