Country,gender,alc-attri-death-liver
Nicaragua,female,33
Niger,male,11.2
Niger,female,8.7
Nigeria,male,76.3
Nigeria,female,57
Norway,male,63.4
Norway,female,54.7
Oman,male,17
Oman,female,8.2
Pakistan,male,12.8
Pakistan,female,3.2
Panama,male,67
Panama,female,41.5
Papua New Guinea,male,24.2
Papua New Guinea,female,15.5
Paraguay,male,66.3
Paraguay,female,39.4
Peru,male,60.1
Peru,female,40.3
Philippines,male,66
Philippines,female,37.1
Poland,male,78.1
Poland,female,62.2
Portugal,male,78.8
Portugal,female,63
Qatar,male,20.8
Qatar,female,18.9
Republic of Korea,male,74.5
Republic of Korea,female,56.3
Republic of Moldova,male,57
Republic of Moldova,female,61.5
North Macedonia,male,72
North Macedonia,female,47.8
Romania,male,78.9
Romania,female,62.1
Russian Federation,male,51.7
Russian Federation,female,61.8
Rwanda,male,70.4
Rwanda,female,44.7
Saint Lucia,male,73.6
Saint Lucia,female,54
Saint Vincent and the Grenadines,male,69.5
Saint Vincent and the Grenadines,female,44
Samoa,male,40.4
Samoa,female,19.4
Sao Tome and Principe,male,64.6
Sao Tome and Principe,female,39.4
Saudi Arabia,male,4
Saudi Arabia,female,2.3
Senegal,male,14.7
Senegal,female,10.5
Serbia,male,77.3
Serbia,female,57.3
Seychelles,male,77.1
Seychelles,female,54.2
Sierra Leone,male,61.8
Sierra Leone,female,35.7
Singapore,male,30.3
Singapore,female,34.9
Slovakia,male,77.5
Slovakia,female,62
Slovenia,male,78.1
Slovenia,female,62.5
Solomon Islands,male,27.3
Solomon Islands,female,16.2
Somalia,male,7.4
Somalia,female,2.3
South Africa,male,69.5
South Africa,female,43.4
South Sudan,male,49.4
South Sudan,female,30.1
Spain,male,73.8
Spain,female,56.3
Sri Lanka,male,56.7
Sri Lanka,female,28.2
Sudan,male,17.8
Sudan,female,4.8
Suriname,male,56.1
Suriname,female,34.4
Sweden,male,70.3
Sweden,female,56.4
Switzerland,male,74.9
Switzerland,female,63.3
Syrian Arab Republic,male,7.6
Syrian Arab Republic,female,1.2
Tajikistan,male,60.5
Tajikistan,female,29.8
Thailand,male,71.1
Thailand,female,43.6
Timor-Leste,male,34.4
Timor-Leste,female,18.6
Togo,male,43.7
Togo,female,22.6
Tonga,male,30
Tonga,female,16.5
Trinidad and Tobago,male,69
Trinidad and Tobago,female,50.8
Tunisia,male,33
Tunisia,female,8
Turkey,male,37.2
Turkey,female,10.9
Turkmenistan,male,69
Turkmenistan,female,38.8
Uganda,male,70.4
Uganda,female,47.2
Ukraine,male,51.6
Ukraine,female,58.4
United Arab Emirates,male,42.7
United Arab Emirates,female,20
United Kingdom of Great Britain and Northern Ireland,male,77
United Kingdom of Great Britain and Northern Ireland,female,63.4
United Republic of Tanzania,male,69.7
United Republic of Tanzania,female,45.8
United States of America,male,74.1
United States of America,female,59.2
Uruguay,male,74.4
Uruguay,female,57
Uzbekistan,male,58.6
Uzbekistan,female,29.2
Vanuatu,male,20.2
Vanuatu,female,14.5
Venezuela (Bolivarian Republic of),male,60.5
Venezuela (Bolivarian Republic of),female,34.5
Viet Nam,male,70
Viet Nam,female,39.2
Yemen,male,2
Yemen,female,0.6
Zambia,male,57.4
Zambia,female,31.9
Zimbabwe,male,54.4
Zimbabwe,female,29
