Country,Gender,2018,2015,2010,2005,2000
Sudan,Both,0.5,0.5,NA,NA,NA
Sudan,Male,0.9,0.9,NA,NA,NA
Sudan,Female,0.1,0.1,NA,NA,NA
Suriname,Both,5.3,5.8,6.2,5.4,5.3
Suriname,Male,8.5,9.3,9.9,8.6,8.5
Suriname,Female,2.2,2.4,2.5,2.2,2.1
Sweden,Both,8.9,9.1,9.5,8.6,8.5
Sweden,Male,13.7,14.0,14.6,13.4,13.3
Sweden,Female,4.2,4.3,4.4,4.0,3.9
Switzerland,Both,11.5,11.6,11.4,11.6,12.5
Switzerland,Male,17.6,17.7,17.5,18.0,19.3
Switzerland,Female,5.6,5.6,5.6,5.7,6.1
Syrian Arab Republic,Both,0.2,0.3,0.9,0.9,1.2
Syrian Arab Republic,Male,0.4,0.5,1.5,1.6,2.0
Syrian Arab Republic,Female,0.1,0.1,0.2,0.2,0.3
Tajikistan,Both,3.3,3.1,2.4,2.5,3.0
Tajikistan,Male,5.6,5.3,4.1,4.2,5.0
Tajikistan,Female,1.0,0.9,0.7,0.8,1.0
Thailand,Both,8.3,8.4,7.7,6.8,6.5
Thailand,Male,13.4,13.5,12.5,11.0,10.5
Thailand,Female,3.5,3.5,3.2,2.9,2.7
Timor-Leste,Both,2.2,2.0,0.7,0.8,1.5
Timor-Leste,Male,3.4,3.2,1.1,1.3,2.4
Timor-Leste,Female,0.9,0.8,0.3,0.3,0.6
Togo,Both,2.5,2.4,2.1,3.3,1.8
Togo,Male,3.9,3.8,3.4,5.2,2.9
Togo,Female,1.0,1.0,0.9,1.4,0.8
Tonga,Both,0.8,0.7,1.4,2.3,1.7
Tonga,Male,1.3,1.1,2.3,3.9,2.8
Tonga,Female,0.3,0.2,0.5,0.8,0.6
Trinidad and Tobago,Both,6.7,6.9,6.2,6.2,5.3
Trinidad and Tobago,Male,10.6,10.8,9.7,9.7,8.3
Trinidad and Tobago,Female,3.0,3.1,2.8,2.8,2.3
Tunisia,Both,2.1,2.0,1.4,1.5,1.4
Tunisia,Male,3.8,3.5,2.5,2.6,2.4
Tunisia,Female,0.6,0.5,0.4,0.4,0.4
Turkey,Both,2.0,2.1,2.3,2.1,2.4
Turkey,Male,3.6,3.8,4.1,3.7,4.2
Turkey,Female,0.6,0.6,0.6,0.6,0.7
Turkmenistan,Both,4.9,5.3,4.8,4.9,4.8
Turkmenistan,Male,8.4,9.0,8.2,8.3,8.2
Turkmenistan,Female,1.6,1.8,1.6,1.6,1.6
Tuvalu,Both,1.5,2.0,1.7,2.0,2.0
Tuvalu,Male,2.5,3.3,2.8,3.3,3.2
Tuvalu,Female,0.5,0.7,0.6,0.7,0.7
Uganda,Both,15.1,15.1,13.5,12.9,13.6
Uganda,Male,24.6,24.7,21.8,20.9,22.1
Uganda,Female,5.9,5.9,5.5,5.3,5.6
Ukraine,Both,8.3,10.2,13.6,12.0,12.5
Ukraine,Male,14.0,17.0,22.3,19.8,20.9
Ukraine,Female,3.6,4.5,6.3,5.5,5.4
United Arab Emirates,Both,3.9,3.8,3.2,3.6,2.6
United Arab Emirates,Male,4.9,4.7,3.9,4.6,3.4
United Arab Emirates,Female,0.8,0.8,0.6,0.7,0.5
United Kingdom of Great Britain and Northern Ireland,Both,11.4,11.2,12.1,13.9,13.7
United Kingdom of Great Britain and Northern Ireland,Male,17.8,17.4,18.7,21.5,21.4
United Kingdom of Great Britain and Northern Ireland,Female,5.4,5.3,5.7,6.8,6.6
United Republic of Tanzania,Both,11.3,11.1,9.7,8.7,8.6
United Republic of Tanzania,Male,18.8,18.4,16.3,14.6,14.4
United Republic of Tanzania,Female,4.1,4.0,3.5,3.1,3.1
United States of America,Both,9.9,9.8,9.4,9.5,9.2
United States of America,Male,15.3,15.2,14.5,14.7,14.3
United States of America,Female,4.6,4.6,4.4,4.5,4.3
Uruguay,Both,6.9,7.0,7.1,7.5,8.1
Uruguay,Male,10.8,11.0,11.2,11.9,12.8
Uruguay,Female,3.4,3.4,3.4,3.5,3.8
Uzbekistan,Both,2.6,2.6,3.0,4.2,5.7
Uzbekistan,Male,4.5,4.4,5.2,7.2,9.8
Uzbekistan,Female,0.8,0.8,0.9,1.3,1.7
Vanuatu,Both,2.2,2.1,1.7,1.2,1.2
Vanuatu,Male,3.7,3.6,2.8,2.0,1.9
Vanuatu,Female,0.8,0.7,0.6,0.4,0.4
Venezuela (Bolivarian Republic of),Both,4.1,6.8,8.7,9.4,9.1
Venezuela (Bolivarian Republic of),Male,6.6,10.8,13.7,14.9,14.4
Venezuela (Bolivarian Republic of),Female,1.8,2.9,3.7,4.0,3.9
Viet Nam,Both,8.7,7.9,4.9,2.6,2.2
Viet Nam,Male,14.1,12.8,8.0,4.3,3.6
Viet Nam,Female,3.5,3.2,2.0,1.1,0.9
Yemen,Both,0.1,0.1,0.2,0.3,0.8
Yemen,Male,0.1,0.1,0.3,0.6,1.4
Yemen,Female,0.0,0.0,0.0,0.1,0.2
Zambia,Both,6.5,6.9,5.4,3.9,4.0
Zambia,Male,10.6,11.2,8.8,6.4,6.6
Zambia,Female,2.6,2.8,2.2,1.6,1.6
Zimbabwe,Both,4.7,4.9,3.9,2.8,2.5
Zimbabwe,Male,8.0,8.4,6.7,4.7,4.2
Zimbabwe,Female,1.6,1.7,1.4,1.0,0.9
