Country,Gender,2018,2015,2010,2005,2000
Canada,Female,4.1,4.0,4.6,NA,NA
Central African Republic,Both,2.4,2.4,4.0,3.6,3.7
Central African Republic,Male,3.9,3.9,6.4,5.8,6.0
Central African Republic,Female,1.0,1.0,1.6,1.5,1.5
Chad,Both,1.4,1.5,6.6,4.6,4.3
Chad,Male,2.3,2.4,10.9,7.6,7.2
Chad,Female,0.5,0.5,2.4,1.6,1.5
Chile,Both,9.1,9.3,9.3,8.9,7.7
Chile,Male,13.9,14.2,14.3,13.8,12.0
Chile,Female,4.4,4.5,4.5,4.3,3.7
China,Both,7.0,7.1,7.1,4.0,3.8
China,Male,10.9,11.1,11.0,6.3,6.0
China,Female,3.0,3.0,3.0,1.6,1.5
Colombia,Both,5.7,5.8,5.0,5.4,5.6
Colombia,Male,9.3,9.4,8.2,8.8,9.0
Colombia,Female,2.4,2.4,2.1,2.2,2.3
Comoros,Both,0.7,0.9,0.3,0.4,0.2
Comoros,Male,1.2,1.5,0.4,0.8,0.3
Comoros,Female,0.2,0.2,0.1,0.1,0.0
Congo,Both,9.3,7.9,6.2,3.8,3.5
Congo,Male,14.6,12.5,9.7,5.9,5.4
Congo,Female,4.0,3.4,2.6,1.6,1.5
Costa Rica,Both,4.9,4.8,4.8,5.4,5.6
Costa Rica,Male,7.8,7.6,7.7,8.7,8.9
Costa Rica,Female,2.0,2.0,2.0,2.2,2.2
Côte d'Ivoire,Both,2.7,2.6,2.5,3.3,7.3
Côte d'Ivoire,Male,4.3,4.1,4.0,5.2,11.4
Côte d'Ivoire,Female,1.1,1.0,1.0,1.2,2.7
Croatia,Both,9.2,9.1,10.1,10.3,12.5
Croatia,Male,14.7,14.5,16.0,16.4,19.7
Croatia,Female,4.2,4.2,4.7,4.8,5.9
Cuba,Both,5.8,5.7,5.0,5.4,5.0
Cuba,Male,9.3,9.0,8.0,8.6,8.0
Cuba,Female,2.4,2.4,2.1,2.2,2.0
Cyprus,Both,10.8,10.8,11.3,12.4,10.9
Cyprus,Male,16.9,16.8,17.6,19.0,16.7
Cyprus,Female,4.8,4.7,5.2,5.8,5.0
Czechia,Both,14.4,14.2,14.1,14.8,15.0
Czechia,Male,22.3,22.0,21.6,22.8,23.2
Czechia,Female,7.0,6.9,6.9,7.3,7.4
Democratic People's Republic of Korea,Both,3.8,3.8,3.8,3.7,3.5
Democratic People's Republic of Korea,Male,6.3,6.3,6.3,6.1,5.8
Democratic People's Republic of Korea,Female,1.5,1.5,1.5,1.5,1.4
Democratic Republic of the Congo,Both,2.0,2.1,1.8,0.9,1.0
Democratic Republic of the Congo,Male,3.2,3.3,2.8,1.4,1.5
Democratic Republic of the Congo,Female,0.8,0.9,0.7,0.4,0.4
Denmark,Both,10.3,10.4,11.0,12.3,12.7
Denmark,Male,15.8,16.0,16.9,18.9,19.5
Denmark,Female,4.9,4.9,5.2,5.9,6.1
Djibouti,Both,0.4,0.5,0.7,1.3,1.6
Djibouti,Male,0.7,0.9,1.2,2.2,2.8
Djibouti,Female,0.1,0.1,0.2,0.4,0.4
Dominica,Both,11.2,11.3,9.6,8.7,8.4
Dominica,Male,18.1,18.3,15.6,14.1,13.6
Dominica,Female,4.6,4.6,3.9,3.5,3.4
Dominican Republic,Both,6.7,6.6,6.1,6.2,7.2
Dominican Republic,Male,10.7,10.6,9.8,9.8,11.5
Dominican Republic,Female,2.8,2.8,2.5,2.5,2.9
