Country,Beverage Types,2017,2016,2015,2014,2013,2012,2011,2010
Malawi,Other alcoholic beverages,1.61,1.61,1.61,1.67,1.54,1.34,1.48,1.29
Malaysia,All types,0.58,0.59,0.54,0.55,0.56,0.57,0.55,0.52
Malaysia,Beer,0.43,0.43,0.39,0.39,0.4,0.41,0.39,0.38
Malaysia,Wine,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03
Malaysia,Spirits,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1
Malaysia,Other alcoholic beverages,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Mali,All types,0.59,0.58,0.59,0.58,0.59,0.62,0.61,0.59
Mali,Beer,0.1,0.09,0.09,0.1,0.09,0.08,0.08,0.07
Mali,Wine,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Mali,Spirits,0,0,0,0,0,0,0.02,0.02
Mali,Other alcoholic beverages,0.48,0.48,0.48,0.48,0.49,0.53,0.5,0.49
Malta,All types,7.78,7.51,7.29,7.37,7.37,7.2,6.89,6.98
Malta,Beer,2.83,2.82,2.8,2.8,2.79,2.78,2.78,2.77
Malta,Wine,2.33,2.16,2.02,2.12,2.08,2.15,1.99,2.22
Malta,Spirits,2.24,2.16,2.12,2.06,2.13,1.94,1.81,1.68
Malta,Other alcoholic beverages,0.38,0.37,0.36,0.39,0.37,0.34,0.31,0.31
Mauritius,All types,3.1,3.07,2.61,2.82,2.98,2.97,3.04,2.96
Mauritius,Beer,1.88,1.83,1.41,1.68,1.85,1.84,1.84,1.8
Mauritius,Wine,0.4,0.41,0.38,0.31,0.3,0.3,0.31,0.35
Mauritius,Spirits,0.79,0.79,0.79,0.79,0.8,0.81,0.87,0.78
Mauritius,Other alcoholic beverages,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02
Mexico,All types,4.25,4.25,4.24,3.94,3.81,3.86,4,4.05
Mexico,Beer,3.72,3.72,3.59,3.38,3.28,3.41,3.53,3.53
Mexico,Wine,0.19,0.19,0.2,0.18,0.2,0.19,0.18,0.18
Mexico,Spirits,0.19,0.19,0.24,0.24,0.19,0.12,0.18,0.23
Mexico,Other alcoholic beverages,0.15,0.15,0.21,0.15,0.14,0.13,0.11,0.11
Mongolia,All types,6.24,6.9,8.4,9.93,12.64,7.55,6.66,7.74
Mongolia,Beer,2.05,2.16,2.14,2.13,2.34,2.3,1.97,1.61
Mongolia,Wine,1.37,1.34,1.2,1.39,1.44,1.58,1.53,1.23
Mongolia,Spirits,2.82,3.4,5.06,6.41,8.85,3.67,3.17,4.9
Mongolia,Other alcoholic beverages,0,0,0,0,0,0,0,0
Montenegro,All types,9.18,8.97,8.34,8.44,9.51,9.25,8.91,9.83
Montenegro,Beer,3.45,3.45,3.45,3.53,3.88,4.21,3.94,4.14
Montenegro,Wine,2.56,2.45,1.98,2.09,2.89,2.41,2.41,3.22
Montenegro,Spirits,3.04,2.93,2.78,2.66,2.57,2.48,2.4,2.31
Montenegro,Other alcoholic beverages,0.13,0.13,0.13,0.17,0.16,0.14,0.16,0.17
Morocco,All types,0.43,0.4,0.39,0.41,0.45,0.46,0.46,0.47
Morocco,Beer,0.17,0.16,0.16,0.15,0.17,0.18,0.18,0.2
Morocco,Wine,0.18,0.17,0.17,0.19,0.2,0.2,0.19,0.18
Morocco,Spirits,0.07,0.07,0.06,0.07,0.07,0.08,0.09,0.09
Morocco,Other alcoholic beverages,0,0,0,0,0,0,0,0
Mozambique,All types,1.24,1.25,1.22,1.06,0.99,0.99,0.93,0.84
Mozambique,Beer,1,1.01,0.96,0.81,0.74,0.72,0.68,0.61
Mozambique,Wine,0.05,0.08,0.09,0.09,0.09,0.11,0.11,0.1
Mozambique,Spirits,0.19,0.15,0.17,0.17,0.16,0.15,0.13,0.13
Mozambique,Other alcoholic beverages,0.01,0.01,0.01,0.01,0,0,0,0
Myanmar,All types,1.75,1.6,1.46,1.36,1.31,1.24,1.09,0.97
Myanmar,Beer,0.45,0.42,0.37,0.32,0.28,0.24,0.18,0.15
Myanmar,Wine,0,0,0,0,0,0,0,0
Myanmar,Spirits,1.3,1.18,1.09,1.04,1.03,1,0.92,0.82
Myanmar,Other alcoholic beverages,0,0,0,0,0,0,0,0
Netherlands,All types,8.34,8.3,8.3,8.39,8.58,9.06,9,9.07
Netherlands,Beer,4.02,4.05,4.04,4.12,4.2,4.37,4.34,4.36
Netherlands,Wine,2.94,2.89,2.94,2.95,2.87,3.16,3.17,3.18
Netherlands,Spirits,1.38,1.35,1.32,1.32,1.52,1.52,1.49,1.53
Netherlands,Other alcoholic beverages,0,0,0,0,0,0,0,0
New Zealand,All types,9.06,9.02,8.68,8.98,9.12,9.17,9.45,9.62
New Zealand,Beer,3.34,3.37,3.28,3.33,3.45,3.38,3.65,3.68
New Zealand,Wine,3.02,3.01,2.91,3.13,3.01,3,3.01,3.23
New Zealand,Spirits,1.49,1.49,1.4,1.47,1.52,1.52,1.53,1.52
New Zealand,Other alcoholic beverages,1.2,1.14,1.1,1.05,1.15,1.26,1.26,1.2
Nicaragua,All types,3.89,3.81,3.73,3.55,3.56,3.61,3.36,3.35
Nicaragua,Beer,1.61,1.53,1.45,1.38,1.35,1.32,1.32,1.32
Nicaragua,Wine,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02
Nicaragua,Spirits,2.24,2.25,2.25,2.13,2.19,2.26,2.02,2.01
Nicaragua,Other alcoholic beverages,0.01,0,0,0,0,0,0,0
Norway,All types,6,6.03,5.97,6.06,6.21,6.21,6.44,6.59
Norway,Beer,2.63,2.65,2.57,2.62,2.68,2.67,2.83,2.91
Norway,Wine,2.19,2.21,2.22,2.25,2.3,2.29,2.3,2.29
Norway,Spirits,1.01,1.01,1.03,1.04,1.09,1.11,1.18,1.25
Norway,Other alcoholic beverages,0.17,0.16,0.15,0.15,0.14,0.14,0.13,0.14
Oman,All types,0.4,0.4,0.42,0.43,0.45,0.49,0.5,0.51
Oman,Beer,0.16,0.17,0.17,0.17,0.18,0.19,0.2,0.2
Oman,Wine,0.02,0.01,0.01,0.01,0.01,0.03,0.02,0.03
Oman,Spirits,0.22,0.23,0.24,0.24,0.26,0.28,0.28,0.28
Oman,Other alcoholic beverages,0.01,0,0,0,0,0,0,0
Panama,All types,6.89,6.7,6.92,6.34,6.26,6.25,6.22,6.16
Panama,Beer,5.42,5.14,5.36,4.79,4.43,4.27,4.21,4.1
Panama,Wine,0.25,0.25,0.24,0.24,0.25,0.25,0.25,0.24
Panama,Spirits,1.2,1.3,1.31,1.29,1.56,1.71,1.74,1.8
Panama,Other alcoholic beverages,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01
Peru,All types,5.3,5.31,5.3,5.26,5.12,5.21,5.09,5.13
Peru,Beer,3.06,3.07,3.06,3.09,3.07,3.19,3.09,3.13
Peru,Wine,0.43,0.43,0.43,0.43,0.42,0.41,0.37,0.35
Peru,Spirits,1.8,1.8,1.8,1.73,1.62,1.61,1.62,1.65
Peru,Other alcoholic beverages,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Philippines,All types,4.75,4.53,4.52,4.62,4.63,4.98,4.86,4.74
Philippines,Beer,1.38,1.24,1.11,1.1,1.1,1.25,1.28,1.29
Philippines,Wine,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.02
Philippines,Spirits,3.32,3.25,3.37,3.48,3.49,3.67,3.44,3.29
Philippines,Other alcoholic beverages,0.01,0.01,0.01,0.01,0.02,0.03,0.12,0.14
Poland,All types,10.53,10.43,10.47,10.45,10.8,10.21,10.24,10.07
Poland,Beer,5.78,5.84,5.82,5.8,5.74,5.84,5.56,5.32
Poland,Wine,0.87,0.83,0.89,0.89,0.82,0.83,0.91,0.98
Poland,Spirits,3.87,3.76,3.76,3.76,4.23,3.53,3.77,3.77
Poland,Other alcoholic beverages,0,0,0,0,0,0,0,0
Portugal,All types,10.37,10.37,10.34,10.2,9.52,9.76,10.86,11.26
Portugal,Beer,2.62,2.62,2.57,2.47,2.58,2.64,2.75,3.03
Portugal,Wine,6.04,6.04,6.05,5.96,5.16,5.34,6.37,6.44
Portugal,Spirits,1.34,1.34,1.34,1.4,1.4,1.4,1.4,1.41
Portugal,Other alcoholic beverages,0.37,0.37,0.37,0.38,0.38,0.38,0.32,0.38
Qatar,All types,1.04,1.04,1.07,1.05,1.07,1.07,1.1,1.11
Qatar,Beer,0.3,0.3,0.29,0.3,0.3,0.32,0.31,0.32
Qatar,Wine,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09
Qatar,Spirits,0.65,0.66,0.68,0.66,0.68,0.66,0.69,0.69
Qatar,Other alcoholic beverages,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Republic of Korea,All types,8.65,8.69,9.09,8.94,8.77,8.98,8.86,8.9
Republic of Korea,Beer,1.94,2,2.03,2.01,2.1,1.98,1.93,1.89
Republic of Korea,Wine,0.14,0.15,0.17,0.15,0.15,0.13,0.13,0.14
Republic of Korea,Spirits,0.28,0.3,0.34,0.39,0.38,0.37,0.38,0.4
Republic of Korea,Other alcoholic beverages,6.3,6.24,6.56,6.39,6.14,6.5,6.42,6.48
Republic of Moldova,All types,7.45,7.22,6.76,7.4,8.48,8.3,8.21,6.92
Republic of Moldova,Beer,1.51,1.5,1.52,1.62,1.78,1.95,1.83,1.65
Republic of Moldova,Wine,3.44,3.36,2.68,2.75,3.19,3.49,3.66,2.98
Republic of Moldova,Spirits,2.25,2.09,2.34,2.83,3.13,2.55,2.07,1.68
Republic of Moldova,Other alcoholic beverages,0.25,0.27,0.22,0.2,0.38,0.31,0.65,0.62
Romania,All types,10.14,9.57,9.45,9.48,9.65,9.66,9.58,10.01
Romania,Beer,5.28,5.25,5.22,4.86,5.14,5.35,5,4.83
Romania,Wine,3.09,2.55,2.7,3.21,3.08,3,3.03,3.16
Romania,Spirits,1.77,1.77,1.54,1.42,1.42,1.3,1.54,2.02
Romania,Other alcoholic beverages,0,0,0,0,0,0,0,0
Russian Federation,All types,7.24,8.2,8.36,9.25,10.17,10.86,10.92,10.95
Russian Federation,Beer,3.05,3.53,3.65,3.96,4.23,4.2,4.16,4.12
Russian Federation,Wine,1.1,1.08,1.11,1.17,1.11,1.21,1.24,1.29
Russian Federation,Spirits,3.09,3.59,3.6,4.12,4.83,5.46,5.52,5.55
Russian Federation,Other alcoholic beverages,0,0,0,0,0,0,0,0
Rwanda,All types,6.99,7.09,7.05,7.12,6.86,7.08,7.27,7.65
Rwanda,Beer,1.06,1.16,1.12,0.92,1.01,0.97,0.9,0.8
Rwanda,Wine,0.01,0.01,0.01,0.01,0.01,0,0,0
Rwanda,Spirits,0.04,0.04,0.04,0.13,0.19,0.13,0.09,0.04
Rwanda,Other alcoholic beverages,5.88,5.88,5.88,6.06,5.64,5.98,6.28,6.8
Saint Lucia,All types,10.35,10.18,9.73,9.61,9.47,9.91,10.36,10.59
Saint Lucia,Beer,3.46,3.43,3.36,3.27,3.28,3.28,3.27,3.28
Saint Lucia,Wine,1.24,1.17,1.05,1.09,1.08,1.1,1.23,1.17
Saint Lucia,Spirits,5.05,4.97,4.87,4.79,4.66,5.03,5.32,5.55
Saint Lucia,Other alcoholic beverages,0.6,0.61,0.45,0.45,0.45,0.5,0.53,0.58
Saint Vincent and the Grenadines,All types,8.12,7.99,7.59,7.35,7.23,7.12,7.23,7.21
Saint Vincent and the Grenadines,Beer,2.77,2.72,2.6,2.49,2.41,2.34,2.35,2.32
Saint Vincent and the Grenadines,Wine,0.62,0.6,0.59,0.58,0.5,0.51,0.51,0.55
Saint Vincent and the Grenadines,Spirits,4.52,4.45,4.22,4.12,4.16,4.15,4.26,4.22
Saint Vincent and the Grenadines,Other alcoholic beverages,0.21,0.21,0.18,0.16,0.15,0.12,0.11,0.13
Senegal,All types,0.3,0.3,0.24,0.25,0.25,0.27,0.31,0.28
Senegal,Beer,0.18,0.18,0.14,0.14,0.14,0.14,0.15,0.14
Senegal,Wine,0.1,0.1,0.08,0.08,0.08,0.11,0.13,0.11
Senegal,Spirits,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.03
Senegal,Other alcoholic beverages,0,0,0,0,0,0,0,0
Serbia,All types,7.32,7.21,7.09,7.06,7.78,8.6,8.36,8.64
Serbia,Beer,3.02,2.95,2.96,2.81,2.89,3.08,3.14,3.09
Serbia,Wine,1.72,1.7,1.6,1.76,2.41,3.02,2.72,3.05
Serbia,Spirits,2.35,2.33,2.29,2.27,2.25,2.28,2.28,2.28
Serbia,Other alcoholic beverages,0.24,0.23,0.23,0.22,0.23,0.23,0.21,0.22
Seychelles,All types,20.24,20.18,17.6,16.13,15.64,14.72,13.56,11.13
Seychelles,Beer,10.93,10.89,7.97,6.79,6.56,5.57,4.91,2.76
Seychelles,Wine,1.98,1.79,2.11,1.96,1.91,1.8,1.82,2.31
Seychelles,Spirits,6.99,7.25,7.24,7.2,7.07,7.29,6.69,5.98
Seychelles,Other alcoholic beverages,0.35,0.25,0.27,0.19,0.1,0.07,0.13,0.08
Sierra Leone,All types,3.43,3.49,3.41,3.39,3.17,3.49,3.75,3.74
Sierra Leone,Beer,0.15,0.1,0.12,0.12,0.22,0.18,0.18,0.17
Sierra Leone,Wine,0.04,0.14,0.03,0.02,0.03,0.28,0.32,0.24
Sierra Leone,Spirits,0,0,0,0,0,0,0.02,0.02
Sierra Leone,Other alcoholic beverages,3.25,3.25,3.25,3.25,2.92,3.03,3.24,3.32
Singapore,All types,1.8,1.84,1.82,1.84,1.86,1.94,1.89,1.84
Singapore,Beer,1.25,1.28,1.27,1.29,1.24,1.35,1.31,1.29
Singapore,Wine,0.27,0.27,0.27,0.27,0.28,0.27,0.27,0.25
Singapore,Spirits,0.24,0.25,0.25,0.24,0.3,0.29,0.28,0.27
Singapore,Other alcoholic beverages,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03
Slovakia,All types,10.16,9.92,10.74,10.62,10.49,10.62,10.74,10.51
Slovakia,Beer,3.43,3.19,3.42,3.3,3.42,3.66,3.54,3.43
Slovakia,Wine,2.13,2.13,2.6,2.83,2.36,2.12,2.24,2.13
Slovakia,Spirits,4.14,4.25,4.25,4.13,4.13,4.36,4.48,4.61
Slovakia,Other alcoholic beverages,0.47,0.35,0.47,0.35,0.59,0.47,0.47,0.35
Slovenia,All types,10.12,10.51,11.49,10.92,9.53,10.95,10.61,10.33
Slovenia,Beer,4.59,4.35,5.73,5.37,4.55,4.58,4.94,4.59
Slovenia,Wine,4.6,5.32,4.9,4.73,4.09,5.5,4.81,4.85
Slovenia,Spirits,0.93,0.84,0.86,0.82,0.89,0.87,0.86,0.89
Slovenia,Other alcoholic beverages,0,0,0,0,0,0,0,0
Solomon Islands,All types,1.25,1.28,0.98,0.94,0.97,1,1.05,1.09
Solomon Islands,Beer,1.21,1.24,0.94,0.91,0.93,0.96,0.98,0.99
Solomon Islands,Wine,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03
Solomon Islands,Spirits,0,0,0,0,0,0,0.03,0.07
Solomon Islands,Other alcoholic beverages,0,0,0,0,0,0,0,0
South Africa,All types,7.34,7.3,7.33,7.39,7.35,7.37,7.31,7.25
South Africa,Beer,3.97,4,4.01,4.05,4.09,4.11,4.12,4.1
South Africa,Wine,1.45,1.43,1.42,1.35,1.28,1.28,1.28,1.27
South Africa,Spirits,1.3,1.27,1.26,1.29,1.3,1.33,1.32,1.29
South Africa,Other alcoholic beverages,0.63,0.6,0.63,0.69,0.68,0.65,0.6,0.58
Spain,All types,10.84,10.8,10.35,7.67,8.39,8.44,8.58,8.79
Spain,Beer,4.5,4.31,4.17,4.05,3.89,3.88,3.85,3.83
Spain,Wine,3.87,3.86,3.7,1.21,2.09,2.13,2.06,2.15
Spain,Spirits,2.3,2.46,2.31,2.24,2.26,2.27,2.5,2.64
Spain,Other alcoholic beverages,0.18,0.18,0.17,0.17,0.16,0.17,0.17,0.17
Sri Lanka,All types,2.58,2.65,2.72,2.45,2.65,2.89,3.03,2.31
Sri Lanka,Beer,0.22,0.21,0.36,0.37,0.4,0.4,0.28,0.3
Sri Lanka,Wine,0.01,0.01,0.01,0.01,0,0,0,0
Sri Lanka,Spirits,2.32,2.38,2.31,2.03,2.18,2.42,2.7,1.97
Sri Lanka,Other alcoholic beverages,0.03,0.04,0.04,0.05,0.06,0.06,0.05,0.04
Sudan,All types,0.01,0.01,0.02,0.03,0.06,0,0.46,NA
Sudan,Beer,0,0,0,0.01,0.04,0,0.08,NA
Sudan,Wine,0,0,0,0,0,0,0,NA
Sudan,Spirits,0.01,0.01,0.02,0.02,0.02,0,0.38,NA
Sudan,Other alcoholic beverages,0,0,0,0,0,0,0,NA
Suriname,All types,4.45,4.41,4.76,5.41,5.88,5.74,5.62,5.26
Suriname,Beer,1.96,1.99,2.06,2.15,2.1,2.06,2.03,2.03
Suriname,Wine,0.09,0.11,0.14,0.18,0.2,0.17,0.18,0.16
Suriname,Spirits,2.29,2.19,2.44,2.94,3.36,3.29,3.21,2.9
Suriname,Other alcoholic beverages,0.12,0.11,0.13,0.15,0.22,0.22,0.2,0.17
Sweden,All types,7.04,7.15,7.13,7.2,7.32,7.23,7.31,7.38
Sweden,Beer,2.57,2.65,2.62,2.64,2.65,2.63,2.67,2.74
Sweden,Wine,3.36,3.39,3.4,3.46,3.5,3.43,3.47,3.4
Sweden,Spirits,0.99,1,1,0.99,1.06,1.05,1.05,1.11
Sweden,Other alcoholic beverages,0.12,0.11,0.11,0.11,0.11,0.12,0.12,0.13
Switzerland,All types,9.51,9.51,9.62,9.62,9.74,9.87,9.99,10.01
Switzerland,Beer,3.05,3.05,3.17,3.17,3.17,3.17,3.17,3.18
Switzerland,Wine,4.23,4.34,4.58,4.58,4.69,4.7,4.82,4.94
Switzerland,Spirits,1.76,1.76,1.76,1.76,1.76,1.88,1.88,1.77
Switzerland,Other alcoholic beverages,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
Syrian Arab Republic,All types,0.12,0.18,0.24,0.2,0.15,0.22,0.61,0.77
Syrian Arab Republic,Beer,0.02,0.02,0.03,0.02,0.02,0.02,0.09,0.11
Syrian Arab Republic,Wine,0,0,0,0,0,0,0.01,0.01
Syrian Arab Republic,Spirits,0.1,0.15,0.2,0.18,0.13,0.19,0.51,0.65
Syrian Arab Republic,Other alcoholic beverages,0,0,0,0,0,0,0,0
Tajikistan,All types,0.86,0.86,0.9,0.81,0.78,0.76,0.69,0.67
Tajikistan,Beer,0.38,0.34,0.36,0.35,0.39,0.36,0.36,0.29
Tajikistan,Wine,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Tajikistan,Spirits,0.47,0.5,0.53,0.45,0.38,0.38,0.32,0.36
Tajikistan,Other alcoholic beverages,0,0,0,0,0,0,0,0
Thailand,All types,6.57,6.57,6.57,6.9,6.79,7.09,7.14,6.7
Thailand,Beer,1.86,1.86,1.86,2.1,2.22,2.11,1.94,1.86
Thailand,Wine,0.18,0.18,0.18,0.18,0.17,0.15,0.12,0.09
Thailand,Spirits,4.53,4.53,4.53,4.62,4.4,4.83,5.08,4.75
Thailand,Other alcoholic beverages,6.57,6.57,6.57,6.9,6.79,7.09,7.14,6.7
Timor-Leste,All types,0.48,0.49,0.49,0.52,0.48,0.49,0.46,0.1
Timor-Leste,Beer,0.38,0.38,0.38,0.38,0.38,0.39,0.34,0.02
Timor-Leste,Wine,0.1,0.11,0.11,0.13,0.09,0.09,0.07,0.05
Timor-Leste,Spirits,0,0,0,0,0,0,0.05,0.02
Timor-Leste,Other alcoholic beverages,0,0,0,0,0,0,0,0
Togo,All types,1.33,1.26,1.33,1.24,1.2,1.15,1.14,1.26
Togo,Beer,0.73,0.65,0.69,0.6,0.57,0.51,0.48,0.61
Togo,Wine,0.08,0.07,0.08,0.08,0.08,0.1,0.1,0.09
Togo,Spirits,0.21,0.22,0.23,0.24,0.23,0.21,0.21,0.19
Togo,Other alcoholic beverages,0.32,0.32,0.32,0.32,0.32,0.33,0.35,0.36
Tonga,All types,0.33,0.28,0.29,0.37,0.32,0.26,0.96,1.24
Tonga,Beer,0.03,0.03,0.03,0.15,0.08,0.08,0.53,0.92
Tonga,Wine,0.2,0.15,0.16,0.12,0.14,0.11,0.1,0.09
Tonga,Spirits,0.1,0.1,0.1,0.1,0.1,0.07,0.32,0.23
Tonga,Other alcoholic beverages,0,0,0,0,0,0,0,0
Trinidad and Tobago,All types,5.82,5.91,6.14,6.13,6.03,6.05,5.93,5.92
Trinidad and Tobago,Beer,2.97,2.95,2.89,2.87,2.91,2.92,2.92,2.94
Trinidad and Tobago,Wine,0.29,0.32,0.37,0.36,0.26,0.21,0.18,0.16
Trinidad and Tobago,Spirits,2.47,2.54,2.77,2.79,2.78,2.84,2.75,2.75
Trinidad and Tobago,Other alcoholic beverages,0.09,0.1,0.1,0.11,0.08,0.08,0.08,0.08
Tunisia,All types,1.56,1.53,1.49,1.48,1.39,1.35,1.26,1.26
Tunisia,Beer,1,1.02,1.04,0.96,0.86,0.85,0.85,0.87
Tunisia,Wine,0.38,0.36,0.3,0.36,0.38,0.37,0.29,0.26
Tunisia,Spirits,0.15,0.13,0.13,0.14,0.14,0.12,0.1,0.11
Tunisia,Other alcoholic beverages,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02
Turkey,All types,1.38,1.38,1.43,1.5,1.46,1.6,1.59,1.56
Turkey,Beer,0.79,0.8,0.82,0.86,0.82,0.94,0.88,0.89
Turkey,Wine,0.15,0.16,0.14,0.14,0.14,0.13,0.13,0.14
Turkey,Spirits,0.44,0.42,0.47,0.5,0.51,0.53,0.58,0.53
Turkey,Other alcoholic beverages,0,0,0,0,0,0,0,0
Turkmenistan,All types,3.17,3.32,3.36,3.24,3.18,3,2.88,2.9
Turkmenistan,Beer,0.72,0.71,0.68,0.64,0.64,0.45,0.29,0.25
Turkmenistan,Wine,1.33,1.39,1.39,1.32,1.25,1.26,1.28,1.33
Turkmenistan,Spirits,1.12,1.21,1.29,1.28,1.29,1.3,1.31,1.31
Turkmenistan,Other alcoholic beverages,0,0,0,0,0,0,0,0
Uganda,All types,12.19,12.1,12.13,12.52,7.72,8.39,11.71,11.5
Uganda,Beer,0.84,0.8,0.82,0.87,0.78,0.91,0.72,0.68
Uganda,Wine,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Uganda,Spirits,0.61,0.56,0.56,0.55,0.54,0.54,0.55,0.55
Uganda,Other alcoholic beverages,10.73,10.73,10.73,11.09,6.4,6.93,10.44,10.27
United Kingdom of Great Britain and Northern Ireland,All types,9.88,9.69,9.59,9.45,9.42,9.53,9.8,10.01
United Kingdom of Great Britain and Northern Ireland,Beer,3.42,3.39,3.41,3.39,3.3,3.38,3.58,3.69
United Kingdom of Great Britain and Northern Ireland,Wine,3.52,3.46,3.39,3.3,3.28,3.22,3.22,3.23
United Kingdom of Great Britain and Northern Ireland,Spirits,2.26,2.18,2.08,2.02,2.04,2.11,2.12,2.2
United Kingdom of Great Britain and Northern Ireland,Other alcoholic beverages,0.67,0.66,0.71,0.73,0.8,0.82,0.88,0.89
United Republic of Tanzania,All types,7.31,7.41,7.39,6.98,6.3,5.84,6.71,6.59
United Republic of Tanzania,Beer,0.73,0.78,0.75,0.75,0.77,0.75,0.68,0.66
United Republic of Tanzania,Wine,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
United Republic of Tanzania,Spirits,0.2,0.25,0.26,0.26,0.27,0.27,0.24,0.21
United Republic of Tanzania,Other alcoholic beverages,6.37,6.37,6.37,5.96,5.24,4.81,5.78,5.72
United States of America,All types,8.82,8.86,8.78,8.78,8.81,8.85,8.66,8.56
United States of America,Beer,4.01,4.09,4.13,4.13,4.23,4.29,4.22,4.3
United States of America,Wine,1.63,1.63,1.59,1.63,1.59,1.6,1.55,1.45
United States of America,Spirits,3.18,3.14,3.07,3.03,2.99,2.96,2.89,2.81
United States of America,Other alcoholic beverages,0,0,0,0,0,0,0,0
Uruguay,All types,5.75,5.53,6,6.14,6.42,6.55,6.02,5.99
Uruguay,Beer,1.96,1.73,1.97,1.94,1.97,2.01,1.95,1.79
Uruguay,Wine,3.01,2.95,3.07,3.23,3.83,3.95,3.47,3.62
Uruguay,Spirits,0.79,0.85,0.96,0.97,0.62,0.59,0.61,0.58
Uruguay,Other alcoholic beverages,0,0,0,0,0,0,0,0
Uzbekistan,All types,1.57,1.59,1.59,1.48,1.52,1.43,1.68,1.69
Uzbekistan,Beer,0.55,0.55,0.53,0.44,0.48,0.53,0.77,0.81
Uzbekistan,Wine,0.14,0.17,0.18,0.16,0.16,0.1,0.1,0.07
Uzbekistan,Spirits,0.87,0.87,0.88,0.89,0.88,0.8,0.81,0.81
Uzbekistan,Other alcoholic beverages,0,0,0,0,0,0,0,0
Vanuatu,All types,1.57,1.58,1.47,1.48,1.59,1.79,1.65,1.18
Vanuatu,Beer,0.34,0.35,0.33,0.34,0.47,0.49,0.37,0.34
Vanuatu,Wine,0.3,0.31,0.22,0.22,0.2,0.24,0.17,0.19
Vanuatu,Spirits,0.92,0.92,0.92,0.92,0.92,1.07,1.11,0.65
Vanuatu,Other alcoholic beverages,0,0,0,0,0,0,0,0
Venezuela (Bolivarian Republic of),All types,3.13,3.99,6.12,6.52,6.8,6.77,6.82,7.35
Venezuela (Bolivarian Republic of),Beer,1.86,2.68,4.7,4.94,4.93,4.86,5.02,5.45
Venezuela (Bolivarian Republic of),Wine,0.11,0.12,0.14,0.14,0.16,0.2,0.2,0.22
Venezuela (Bolivarian Republic of),Spirits,1.12,1.14,1.22,1.35,1.62,1.63,1.53,1.62
Venezuela (Bolivarian Republic of),Other alcoholic beverages,0.04,0.05,0.07,0.09,0.09,0.08,0.07,0.07
Viet Nam,All types,3.23,3.13,2.95,2.76,2.67,2.56,2.44,2.24
Viet Nam,Beer,2.96,2.83,2.66,2.5,2.43,2.33,2.24,2.06
Viet Nam,Wine,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Viet Nam,Spirits,0.24,0.27,0.26,0.23,0.21,0.21,0.19,0.16
Viet Nam,Other alcoholic beverages,0,0,0,0,0,0,0,0
Zambia,All types,3.95,3.85,3.85,4.66,2.78,3.51,3.49,3.59
Zambia,Beer,1.15,1.07,1.05,1.08,0.95,0.82,0.71,0.59
Zambia,Wine,0.08,0.06,0.08,0.09,0.07,0.6,0.61,0.68
Zambia,Spirits,0.62,0.62,0.62,0.7,0.01,0.38,0.34,0.35
Zambia,Other alcoholic beverages,2.1,2.1,2.1,2.79,1.75,1.71,1.84,1.97
Zimbabwe,All types,3.46,3.46,3.51,4.06,4.01,3.76,3.8,3.25
Zimbabwe,Beer,1.93,1.93,1.93,2.23,2.12,2.07,2.05,1.67
Zimbabwe,Wine,0.04,0.04,0.03,0.19,0.19,0.09,0.13,0.1
Zimbabwe,Spirits,0.27,0.27,0.27,0.27,0.41,0.42,0.31,0.32
Zimbabwe,Other alcoholic beverages,1.22,1.22,1.28,1.36,1.29,1.18,1.32,1.17
