Country,gender,alc-attri-death-traffic
Nicaragua,female,16.1
Niger,male,12.3
Niger,female,9.6
Nigeria,male,41.5
Nigeria,female,32.1
Niue,male,---
Niue,female,No data
Norway,male,43.9
Norway,female,28.8
Oman,male,5.4
Oman,female,2.6
Pakistan,male,1
Pakistan,female,0.7
Palau,male,---
Palau,female,No data
Panama,male,37.1
Panama,female,26.6
Papua New Guinea,male,17.5
Papua New Guinea,female,10.5
Paraguay,male,35.3
Paraguay,female,22.8
Peru,male,38.6
Peru,female,26.3
Philippines,male,29.4
Philippines,female,18.9
Poland,male,48.1
Poland,female,36
Portugal,male,43
Portugal,female,30.2
Qatar,male,30.1
Qatar,female,20.4
Republic of Korea,male,38.5
Republic of Korea,female,24.8
Republic of Moldova,male,52
Republic of Moldova,female,49.7
North Macedonia,male,38.8
North Macedonia,female,27.7
Romania,male,46.9
Romania,female,35.9
Russian Federation,male,46.4
Russian Federation,female,45.8
Rwanda,male,33.9
Rwanda,female,24.8
Saint Lucia,male,43.2
Saint Lucia,female,40.2
Saint Vincent and the Grenadines,male,37.1
Saint Vincent and the Grenadines,female,22.3
Samoa,male,17.5
Samoa,female,15.4
Sao Tome and Principe,male,31.2
Sao Tome and Principe,female,17.3
Saudi Arabia,male,0.5
Saudi Arabia,female,0.3
Senegal,male,13.3
Senegal,female,9.2
Serbia,male,43.9
Serbia,female,31.7
Seychelles,male,40.2
Seychelles,female,37.9
Sierra Leone,male,26.9
Sierra Leone,female,18.7
Singapore,male,39.8
Singapore,female,30.6
Slovakia,male,48.1
Slovakia,female,36.2
Slovenia,male,50.1
Slovenia,female,33.9
Solomon Islands,male,16.7
Solomon Islands,female,11
Somalia,male,0.1
Somalia,female,0.1
South Africa,male,33.9
South Africa,female,25.2
South Sudan,male,24.1
South Sudan,female,17.2
Spain,male,39.6
Spain,female,28.3
Sri Lanka,male,21.2
Sri Lanka,female,11.7
Sudan,male,2
Sudan,female,1.4
Suriname,male,33.9
Suriname,female,17.9
Sweden,male,42.5
Sweden,female,28.6
Switzerland,male,45.3
Switzerland,female,31.3
Syrian Arab Republic,male,1.1
Syrian Arab Republic,female,0.7
Tajikistan,male,18.8
Tajikistan,female,11
Thailand,male,34.1
Thailand,female,15.3
Timor-Leste,male,12.7
Timor-Leste,female,8.3
Togo,male,19.1
Togo,female,12.8
Tonga,male,17.4
Tonga,female,11.2
Trinidad and Tobago,male,44.8
Trinidad and Tobago,female,30.3
Tunisia,male,5.8
Tunisia,female,3.7
Turkey,male,7.1
Turkey,female,3.5
Turkmenistan,male,31
Turkmenistan,female,22.9
Uganda,male,37
Uganda,female,24.3
Ukraine,male,44.8
Ukraine,female,43.4
United Arab Emirates,male,14.1
United Arab Emirates,female,6.2
United Kingdom of Great Britain and Northern Ireland,male,43.8
United Kingdom of Great Britain and Northern Ireland,female,32.2
United Republic of Tanzania,male,35.8
United Republic of Tanzania,female,25.4
United States of America,male,42.5
United States of America,female,25
Uruguay,male,41
Uruguay,female,22.5
Uzbekistan,male,20.7
Uzbekistan,female,14.5
Vanuatu,male,16.1
Vanuatu,female,10.5
Venezuela (Bolivarian Republic of),male,32.6
Venezuela (Bolivarian Republic of),female,19.5
Viet Nam,male,32.4
Viet Nam,female,19.6
Yemen,male,0.2
Yemen,female,0.1
Zambia,male,25.9
Zambia,female,18.6
Zimbabwe,male,17.1
Zimbabwe,female,9.6
